cluster_hdbscan,variable,moda,frecuencia_moda,pct_moda,n_categorias,top_categorias
-1,zona_termica,d,275,45.68106312292359,9,d: 275 (45.7%); a: 117 (19.4%); c: 77 (12.8%); g: 57 (9.5%); e: 26 (4.3%); f: 17 (2.8%); i: 17 (2.8%); h: 15 (2.5%)
-1,tipo_inmueble,casa_pareada,314,52.159468438538205,4,casa_pareada: 314 (52.2%); depto: 153 (25.4%); casa_aislada: 111 (18.4%); <NA>: 24 (4.0%)
0,zona_termica,i,97,100.0,1,i: 97 (100.0%)
0,tipo_inmueble,casa_pareada,48,49.48453608247423,3,casa_pareada: 48 (49.5%); depto: 41 (42.3%); casa_aislada: 8 (8.2%)
1,zona_termica,b,148,100.0,1,b: 148 (100.0%)
1,tipo_inmueble,depto,111,75.0,2,depto: 111 (75.0%); casa_pareada: 37 (25.0%)
2,zona_termica,c,236,100.0,1,c: 236 (100.0%)
2,tipo_inmueble,depto,236,100.0,1,depto: 236 (100.0%)
3,zona_termica,c,71,100.0,1,c: 71 (100.0%)
3,tipo_inmueble,casa_pareada,71,100.0,1,casa_pareada: 71 (100.0%)
4,zona_termica,a,258,100.0,1,a: 258 (100.0%)
4,tipo_inmueble,depto,258,100.0,1,depto: 258 (100.0%)
5,zona_termica,a,169,100.0,1,a: 169 (100.0%)
5,tipo_inmueble,depto,169,100.0,1,depto: 169 (100.0%)
6,zona_termica,d,123,100.0,1,d: 123 (100.0%)
6,tipo_inmueble,depto,123,100.0,1,depto: 123 (100.0%)
7,zona_termica,d,93,100.0,1,d: 93 (100.0%)
7,tipo_inmueble,casa_aislada,53,56.98924731182796,2,casa_aislada: 53 (57.0%); casa_pareada: 40 (43.0%)
8,zona_termica,b,80,100.0,1,b: 80 (100.0%)
8,tipo_inmueble,depto,43,53.75,3,depto: 43 (53.8%); casa_pareada: 21 (26.2%); casa_aislada: 16 (20.0%)
9,zona_termica,c,239,100.0,1,c: 239 (100.0%)
9,tipo_inmueble,depto,239,100.0,1,depto: 239 (100.0%)
10,zona_termica,d,224,100.0,1,d: 224 (100.0%)
10,tipo_inmueble,depto,224,100.0,1,depto: 224 (100.0%)
11,zona_termica,e,163,100.0,1,e: 163 (100.0%)
11,tipo_inmueble,casa_pareada,163,100.0,1,casa_pareada: 163 (100.0%)
12,zona_termica,d,223,100.0,1,d: 223 (100.0%)
12,tipo_inmueble,depto,223,100.0,1,depto: 223 (100.0%)
13,zona_termica,e,419,100.0,1,e: 419 (100.0%)
13,tipo_inmueble,depto,419,100.0,1,depto: 419 (100.0%)
14,zona_termica,e,180,100.0,1,e: 180 (100.0%)
14,tipo_inmueble,casa_aislada,180,100.0,1,casa_aislada: 180 (100.0%)
15,zona_termica,f,281,100.0,1,f: 281 (100.0%)
15,tipo_inmueble,casa_pareada,281,100.0,1,casa_pareada: 281 (100.0%)
16,zona_termica,f,75,100.0,1,f: 75 (100.0%)
16,tipo_inmueble,casa_pareada,75,100.0,1,casa_pareada: 75 (100.0%)
17,zona_termica,d,104,100.0,1,d: 104 (100.0%)
17,tipo_inmueble,casa_aislada,104,100.0,1,casa_aislada: 104 (100.0%)
18,zona_termica,d,332,100.0,1,d: 332 (100.0%)
18,tipo_inmueble,casa_aislada,332,100.0,1,casa_aislada: 332 (100.0%)
19,zona_termica,f,159,100.0,1,f: 159 (100.0%)
19,tipo_inmueble,casa_aislada,159,100.0,1,casa_aislada: 159 (100.0%)
20,zona_termica,f,219,100.0,1,f: 219 (100.0%)
20,tipo_inmueble,casa_aislada,219,100.0,1,casa_aislada: 219 (100.0%)
21,zona_termica,f,167,100.0,1,f: 167 (100.0%)
21,tipo_inmueble,depto,167,100.0,1,depto: 167 (100.0%)
22,zona_termica,f,196,100.0,1,f: 196 (100.0%)
22,tipo_inmueble,depto,196,100.0,1,depto: 196 (100.0%)
23,zona_termica,g,56,100.0,1,g: 56 (100.0%)
23,tipo_inmueble,casa_aislada,56,100.0,1,casa_aislada: 56 (100.0%)
24,zona_termica,g,119,100.0,1,g: 119 (100.0%)
24,tipo_inmueble,casa_aislada,119,100.0,1,casa_aislada: 119 (100.0%)
25,zona_termica,d,3354,100.0,1,d: 3354 (100.0%)
25,tipo_inmueble,depto,3354,100.0,1,depto: 3354 (100.0%)
26,zona_termica,d,255,100.0,1,d: 255 (100.0%)
26,tipo_inmueble,depto,255,100.0,1,depto: 255 (100.0%)
27,zona_termica,d,714,100.0,1,d: 714 (100.0%)
27,tipo_inmueble,casa_pareada,714,100.0,1,casa_pareada: 714 (100.0%)
28,zona_termica,g,93,100.0,1,g: 93 (100.0%)
28,tipo_inmueble,depto,93,100.0,1,depto: 93 (100.0%)
29,zona_termica,g,219,100.0,1,g: 219 (100.0%)
29,tipo_inmueble,depto,219,100.0,1,depto: 219 (100.0%)
30,zona_termica,d,60,100.0,1,d: 60 (100.0%)
30,tipo_inmueble,casa_pareada,60,100.0,1,casa_pareada: 60 (100.0%)
31,zona_termica,d,112,100.0,1,d: 112 (100.0%)
31,tipo_inmueble,casa_pareada,112,100.0,1,casa_pareada: 112 (100.0%)
32,zona_termica,d,160,100.0,1,d: 160 (100.0%)
32,tipo_inmueble,casa_pareada,160,100.0,1,casa_pareada: 160 (100.0%)
