document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
a44cb92024,53.1,c,depto,2356.7,2804.1,4.0,4.0,0.84,0.84,7.765441846540239,7.939194467945214,2,1.0,False
d6ee9f2024,56.8,d,depto,8402.0,6154.8,1.9,1.9,0.47,0.47,9.036344063928219,8.725150005802023,25,0.265920536899111,False
a2c4282025,43.7,b,casa_pareada,5035.9,2758.9,3.0,3.0,0.6,0.6,8.52454609246142,7.9229497261707476,8,1.0,False
4c651e2023,49.2,d,depto,4547.6,2467.5,1.9,1.9,0.47,0.47,8.422574772290313,7.811365957698918,25,1.0,False
3c8f8e2021,92.0,d,casa_aislada,21531.3,3837.2,1.9,1.9,0.47,0.47,9.977309412335043,8.252758785684147,18,0.3648357743882624,False
48d14c2021,54.5,a,depto,3551.3,2546.6,4.0,4.0,0.84,0.84,8.17535056000502,7.84290701849721,4,0.44375096420454047,False
c236942025,47.8,d,casa_pareada,5146.3,2415.9,1.9,1.9,0.47,0.47,8.546227584334586,7.790241006243931,27,1.0,False
947f002023,39.3,d,depto,157.1,0.0,1.9,1.9,0.47,0.47,5.0632277442154265,0.0,12,1.0,False
1fe8d72024,60.1,f,casa_aislada,8333.5,3337.1,1.6,1.6,0.33,0.33,9.028158805383143,8.113157061831764,20,1.0,False
ef31872026,49.8,g,depto,9342.9,2993.3,1.1,1.1,0.28,0.28,9.142479002955946,8.00446576036065,28,0.6560923354583298,False
b7192e2024,34.8,d,depto,671.7,1865.6,1.9,1.9,0.47,0.47,6.51129946503156,7.531873873131646,25,0.7786871043400759,False
07e3992025,27.0,d,depto,149.1,10475.8,1.9,1.9,0.47,0.47,5.011301738639416,9.256918567736761,25,0.14555529101514697,False
c8ff1d2021,42.0,d,casa_pareada,5835.0,2176.5,1.9,1.9,0.47,0.47,8.671800909642677,7.685932708726658,27,1.0,False
f5fde72024,34.0,d,depto,1330.5,2192.0,1.9,1.9,0.47,0.47,7.194061405253987,7.693025748417888,25,0.7388537954326058,False
0a87552026,38.9,g,depto,1857.9,2454.5,1.6,1.6,0.33,0.33,7.527740193913099,7.8060856854792995,29,0.5475029868844861,False
571d292024,55.5,d,casa_pareada,10953.8,1895.1,1.9,1.9,0.47,0.47,9.301532995359036,7.5475544240401575,27,0.27160768764000454,False
d9491d2024,48.6,d,depto,3419.2,2447.5,1.9,1.9,0.47,0.47,8.137454307878953,7.803230871142372,25,1.0,False
b6c8142023,37.1,d,depto,1366.5,1769.6,1.9,1.9,0.47,0.47,7.220739534296136,7.479073751176949,25,1.0,False
7db1f02021,46.9,g,depto,2182.6,2855.6,1.6,1.6,0.33,0.33,7.688730169907602,7.957387385428528,29,0.6584118964158127,False
17689e2024,49.4,d,depto,1027.1,2477.3,1.9,1.9,0.47,0.47,6.935467717548673,7.815328120236569,25,0.9717959101316755,False
88c59a2021,74.1,d,casa_aislada,18660.7,3332.5,1.9,1.9,0.47,0.47,9.834228574217322,8.111778082058114,18,0.62726715194705,False
