cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
-1,zona_termica,d,275,45.68106312292359,9
-1,zona_termica,a,117,19.435215946843854,9
-1,zona_termica,c,77,12.790697674418606,9
-1,zona_termica,g,57,9.46843853820598,9
-1,zona_termica,e,26,4.318936877076411,9
-1,zona_termica,f,17,2.823920265780731,9
-1,zona_termica,i,17,2.823920265780731,9
-1,zona_termica,h,15,2.4916943521594686,9
-1,zona_termica,b,1,0.16611295681063123,9
-1,tipo_inmueble,casa_pareada,314,52.159468438538205,4
-1,tipo_inmueble,depto,153,25.41528239202658,4
-1,tipo_inmueble,casa_aislada,111,18.438538205980066,4
-1,tipo_inmueble,,24,3.9867109634551494,4
0,zona_termica,i,97,100.0,1
0,tipo_inmueble,casa_pareada,48,49.48453608247423,3
0,tipo_inmueble,depto,41,42.2680412371134,3
0,tipo_inmueble,casa_aislada,8,8.24742268041237,3
1,zona_termica,b,148,100.0,1
1,tipo_inmueble,depto,111,75.0,2
1,tipo_inmueble,casa_pareada,37,25.0,2
2,zona_termica,c,236,100.0,1
2,tipo_inmueble,depto,236,100.0,1
3,zona_termica,c,71,100.0,1
3,tipo_inmueble,casa_pareada,71,100.0,1
4,zona_termica,a,258,100.0,1
4,tipo_inmueble,depto,258,100.0,1
5,zona_termica,a,169,100.0,1
5,tipo_inmueble,depto,169,100.0,1
6,zona_termica,d,123,100.0,1
6,tipo_inmueble,depto,123,100.0,1
7,zona_termica,d,93,100.0,1
7,tipo_inmueble,casa_aislada,53,56.98924731182796,2
7,tipo_inmueble,casa_pareada,40,43.01075268817204,2
8,zona_termica,b,80,100.0,1
8,tipo_inmueble,depto,43,53.75,3
8,tipo_inmueble,casa_pareada,21,26.25,3
8,tipo_inmueble,casa_aislada,16,20.0,3
9,zona_termica,c,239,100.0,1
9,tipo_inmueble,depto,239,100.0,1
10,zona_termica,d,224,100.0,1
10,tipo_inmueble,depto,224,100.0,1
11,zona_termica,e,163,100.0,1
11,tipo_inmueble,casa_pareada,163,100.0,1
12,zona_termica,d,223,100.0,1
12,tipo_inmueble,depto,223,100.0,1
13,zona_termica,e,419,100.0,1
13,tipo_inmueble,depto,419,100.0,1
14,zona_termica,e,180,100.0,1
14,tipo_inmueble,casa_aislada,180,100.0,1
15,zona_termica,f,281,100.0,1
15,tipo_inmueble,casa_pareada,281,100.0,1
16,zona_termica,f,75,100.0,1
16,tipo_inmueble,casa_pareada,75,100.0,1
17,zona_termica,d,104,100.0,1
17,tipo_inmueble,casa_aislada,104,100.0,1
18,zona_termica,d,332,100.0,1
18,tipo_inmueble,casa_aislada,332,100.0,1
19,zona_termica,f,159,100.0,1
19,tipo_inmueble,casa_aislada,159,100.0,1
20,zona_termica,f,219,100.0,1
20,tipo_inmueble,casa_aislada,219,100.0,1
21,zona_termica,f,167,100.0,1
21,tipo_inmueble,depto,167,100.0,1
22,zona_termica,f,196,100.0,1
22,tipo_inmueble,depto,196,100.0,1
23,zona_termica,g,56,100.0,1
23,tipo_inmueble,casa_aislada,56,100.0,1
24,zona_termica,g,119,100.0,1
24,tipo_inmueble,casa_aislada,119,100.0,1
25,zona_termica,d,3354,100.0,1
25,tipo_inmueble,depto,3354,100.0,1
26,zona_termica,d,255,100.0,1
26,tipo_inmueble,depto,255,100.0,1
27,zona_termica,d,714,100.0,1
27,tipo_inmueble,casa_pareada,714,100.0,1
28,zona_termica,g,93,100.0,1
28,tipo_inmueble,depto,93,100.0,1
29,zona_termica,g,219,100.0,1
29,tipo_inmueble,depto,219,100.0,1
30,zona_termica,d,60,100.0,1
30,tipo_inmueble,casa_pareada,60,100.0,1
31,zona_termica,d,112,100.0,1
31,tipo_inmueble,casa_pareada,112,100.0,1
32,zona_termica,d,160,100.0,1
32,tipo_inmueble,casa_pareada,160,100.0,1
