cluster_hdbscan,variable,count,media,mediana,p25,p75
-1,superficie_util,602,63.32259136212624,56.9,49.0,72.2
-1,u_norm_muro_principal,585,2.498974358974359,1.7,1.7,4.0
-1,u_norm_muro_secundario,585,2.498974358974359,1.7,1.7,4.0
-1,u_norm_techo_principal,585,0.42290598290598286,0.38,0.28,0.6
-1,u_norm_techo_secundario,585,0.42290598290598286,0.38,0.28,0.6
-1,log_calef_proyec_kwh,602,7.736824378944607,8.783034307601167,7.276773057486167,9.391000998371462
-1,log_acs_proyec_kwh,602,7.315324825020935,7.9919305198524775,7.764220980066558,8.177094386739325
0,superficie_util,97,56.355670103092784,56.5,52.3,58.6
0,u_norm_muro_principal,97,0.5999999999999999,0.6,0.6,0.6
0,u_norm_muro_secundario,97,0.5999999999999999,0.6,0.6,0.6
0,u_norm_techo_principal,97,0.25,0.25,0.25,0.25
0,u_norm_techo_secundario,97,0.25,0.25,0.25,0.25
0,log_calef_proyec_kwh,97,8.626343923841151,9.727656884272536,8.789050713521046,10.410172616001205
0,log_acs_proyec_kwh,97,8.196435534828144,8.227108234348146,8.167777549159096,8.253383883376012
1,superficie_util,148,48.86621621621621,50.2,46.075,51.6
1,u_norm_muro_principal,148,4.0,4.0,4.0,4.0
1,u_norm_muro_secundario,148,4.0,4.0,4.0,4.0
1,u_norm_techo_principal,148,0.8400000000000001,0.84,0.84,0.84
1,u_norm_techo_secundario,148,0.8400000000000001,0.84,0.84,0.84
1,log_calef_proyec_kwh,148,6.981832306090966,7.485092459484406,6.91045164052988,7.87558768803907
1,log_acs_proyec_kwh,148,8.008735531414377,8.038065720929644,7.961326245804711,8.059307838360741
2,superficie_util,236,50.89745762711864,51.0,47.9,53.3
2,u_norm_muro_principal,236,4.0,4.0,4.0,4.0
2,u_norm_muro_secundario,236,4.0,4.0,4.0,4.0
2,u_norm_techo_principal,236,0.8400000000000001,0.84,0.84,0.84
2,u_norm_techo_secundario,236,0.8400000000000001,0.84,0.84,0.84
2,log_calef_proyec_kwh,236,6.732685284840569,7.205207085270279,6.596567339572351,7.680892839493133
2,log_acs_proyec_kwh,236,7.892388707070324,7.907982665728846,7.844797391061453,7.941686814175914
3,superficie_util,71,51.45352112676057,53.1,47.4,53.1
3,u_norm_muro_principal,71,4.0,4.0,4.0,4.0
3,u_norm_muro_secundario,71,4.0,4.0,4.0,4.0
3,u_norm_techo_principal,71,0.8400000000000003,0.84,0.84,0.84
3,u_norm_techo_secundario,71,0.8400000000000003,0.84,0.84,0.84
3,log_calef_proyec_kwh,71,8.322167320369156,8.306175819899869,7.964538173927206,8.596604930797742
3,log_acs_proyec_kwh,71,7.905313479525122,7.939693434382254,7.851077349907323,7.939693434382254
4,superficie_util,258,54.09961240310078,55.0,51.05,56.875
4,u_norm_muro_principal,258,4.0,4.0,4.0,4.0
4,u_norm_muro_secundario,258,4.0,4.0,4.0,4.0
4,u_norm_techo_principal,258,0.84,0.84,0.84,0.84
4,u_norm_techo_secundario,258,0.84,0.84,0.84,0.84
4,log_calef_proyec_kwh,258,6.003063037502812,6.16046258460276,5.466996661620245,6.947701599817944
4,log_acs_proyec_kwh,258,7.793416011182902,7.849791727274708,7.785138848540809,7.908460685998653
5,superficie_util,169,52.405325443786985,53.5,46.7,59.5
5,u_norm_muro_principal,169,4.0,4.0,4.0,4.0
5,u_norm_muro_secundario,169,4.0,4.0,4.0,4.0
5,u_norm_techo_principal,169,0.8400000000000001,0.84,0.84,0.84
5,u_norm_techo_secundario,169,0.8400000000000001,0.84,0.84,0.84
5,log_calef_proyec_kwh,169,0.00782261817218787,0.0,0.0,0.0
5,log_acs_proyec_kwh,169,7.833678647428484,7.829948556508906,7.728987799305301,7.914617709040679
6,superficie_util,123,55.05853658536585,43.6,30.85,57.7
6,u_norm_muro_principal,123,1.0,1.0,1.0,1.0
6,u_norm_muro_secundario,123,1.0,1.0,1.0,1.0
6,u_norm_techo_principal,123,0.0,0.0,0.0,0.0
6,u_norm_techo_secundario,123,0.0,0.0,0.0,0.0
6,log_calef_proyec_kwh,123,7.194393549185419,7.277800441859041,6.67041671646499,8.037714219201613
6,log_acs_proyec_kwh,120,7.617305403272061,7.75394363601637,7.405208971749643,8.163836578842766
7,superficie_util,93,69.19139784946236,70.0,51.6,87.4
7,u_norm_muro_principal,93,1.0,1.0,1.0,1.0
7,u_norm_muro_secundario,93,1.0,1.0,1.0,1.0
7,u_norm_techo_principal,93,0.0,0.0,0.0,0.0
7,u_norm_techo_secundario,93,0.0,0.0,0.0,0.0
7,log_calef_proyec_kwh,93,9.098413849568901,9.313708904953216,8.723003384279096,9.504292744941322
7,log_acs_proyec_kwh,93,7.954455857451106,8.039963517078762,7.783682244666731,8.220725975683184
8,superficie_util,80,48.13625,49.8,43.7,51.9
8,u_norm_muro_principal,80,3.0,3.0,3.0,3.0
8,u_norm_muro_secundario,80,3.0,3.0,3.0,3.0
8,u_norm_techo_principal,80,0.5999999999999999,0.6,0.6,0.6
8,u_norm_techo_secundario,80,0.5999999999999999,0.6,0.6,0.6
8,log_calef_proyec_kwh,80,8.424286497165053,8.365377699984862,8.158632222467924,8.801840471661302
8,log_acs_proyec_kwh,80,7.994304675745868,8.027117458568844,7.9229497261707476,8.058580439097181
9,superficie_util,239,50.84602510460251,49.3,43.1,55.0
9,u_norm_muro_principal,239,3.0,3.0,3.0,3.0
9,u_norm_muro_secundario,239,3.0,3.0,3.0,3.0
9,u_norm_techo_principal,239,0.5999999999999996,0.6,0.6,0.6
9,u_norm_techo_secundario,239,0.5999999999999996,0.6,0.6,0.6
9,log_calef_proyec_kwh,239,6.335549009566132,7.125765678184599,6.014627159076457,7.695348628799183
9,log_acs_proyec_kwh,239,7.313642104897498,7.875613267712699,7.730218731012139,7.95338864285936
10,superficie_util,224,51.034821428571426,49.9,49.4,53.9
10,u_norm_muro_principal,224,3.0,3.0,3.0,3.0
10,u_norm_muro_secundario,224,3.0,3.0,3.0,3.0
10,u_norm_techo_principal,224,0.5999999999999999,0.6,0.6,0.6
10,u_norm_techo_secundario,224,0.5999999999999999,0.6,0.6,0.6
10,log_calef_proyec_kwh,224,8.329364576770814,8.471436722684672,8.004304724102626,8.742173016337498
10,log_acs_proyec_kwh,224,7.837395054723193,7.822685085216951,7.814803429489359,7.882050733142866
11,superficie_util,163,51.105521472392645,48.3,47.0,54.5
11,u_norm_muro_principal,163,1.6999999999999995,1.7,1.7,1.7
11,u_norm_muro_secundario,163,1.6999999999999995,1.7,1.7,1.7
11,u_norm_techo_principal,163,0.3799999999999999,0.38,0.38,0.38
11,u_norm_techo_secundario,163,0.3799999999999999,0.38,0.38,0.38
11,log_calef_proyec_kwh,163,8.816550473814479,8.92435020078527,8.554026144187432,9.12303794831135
11,log_acs_proyec_kwh,163,7.889902143376393,7.885592560507808,7.838422176800799,7.9976631270201
12,superficie_util,223,38.69282511210762,38.6,29.950000000000003,45.4
12,u_norm_muro_principal,223,1.8973094170403586,1.9,1.9,1.9
12,u_norm_muro_secundario,223,1.8973094170403586,1.9,1.9,1.9
12,u_norm_techo_principal,223,0.4687892376681613,0.47,0.47,0.47
12,u_norm_techo_secundario,223,0.4687892376681613,0.47,0.47,0.47
