cluster_hdbscan,row_position,index_original,id_col,id_value,distancia_media_intra_cluster
0,9621,9621,document_id,78df872024,0.07656619945041758
1,6573,6573,document_id,165d7a2024,0.04088968244645543
2,5412,5412,document_id,4403132025,0.013925947603854445
3,7922,7922,document_id,77e0f42022,0.006538302902440527
4,184,184,document_id,dc98422025,0.012990161515285023
5,98,98,document_id,2eeab22025,0.004276589345901284
6,3235,3235,document_id,48f37e2020,0.023271527417700708
7,5579,5579,document_id,7508472019,0.060881118873806775
8,4100,4100,document_id,5f2f0f2022,0.05872245764549007
9,4384,4384,document_id,51cf1e2023,0.02467474435742508
10,8766,8766,document_id,ed5d582023,0.006315223614368141
11,5363,5363,document_id,fd37d62025,0.006724270793878576
12,3599,3599,document_id,39a3302025,0.0139352680495084
13,9846,9846,document_id,6428562026,0.015354477922678847
14,6550,6550,document_id,1dd6632025,0.008437231087663753
15,3246,3246,document_id,ab90e42020,0.005468661313435499
16,6079,6079,document_id,80b0d42024,0.0025901844934560357
17,6376,6376,document_id,3bbd4a2022,0.012552286038603947
18,5121,5121,document_id,d60e1c2021,0.012318352907433185
19,1253,1253,document_id,860a482019,0.01170266397244666
20,9243,9243,document_id,516d142022,0.008511545951478183
21,5443,5443,document_id,fcba0f2021,0.008852635533270052
22,2653,2653,document_id,01abe32024,0.007245949415308281
23,9728,9728,document_id,30d2072024,0.003140320499369409
24,8664,8664,document_id,2f4a922025,0.0034468358790647716
25,3353,3353,document_id,82b80a2025,0.01602930035298417
26,1425,1425,document_id,246a4e2026,0.009804158096142369
27,8539,8539,document_id,c8d68a2024,0.007325819261248663
28,9953,9953,document_id,b30e1b2024,0.0073656474492983315
29,1941,1941,document_id,b458e62025,0.008495951709473084
30,7474,7474,document_id,0e77d02022,0.007388791857132067
31,3262,3262,document_id,e54d7a2026,0.0017612031192706062
32,5082,5082,document_id,0ee0bb2025,0.0034755357311951228
