document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec_kwh,acs_proyec_kwh,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,log_calef_proyec_kwh,log_acs_proyec_kwh,cluster_hdbscan,cluster_probability,cluster_is_noise
78df872024,57.2,i,casa_pareada,22428.6,3301.9,0.6,0.6,0.25,0.25,10.018136794096211,8.102556149425363,0,1.0,False
165d7a2024,51.0,b,depto,1717.2,3116.9,4.0,4.0,0.84,0.84,7.449032510203956,8.044914977262486,1,1.0,False
4403132025,51.0,c,depto,1400.7,2717.9,4.0,4.0,0.84,0.84,7.245441064669012,7.907982665728846,2,1.0,False
77e0f42022,48.3,c,casa_pareada,4047.8,2607.7,4.0,4.0,0.84,0.84,8.306175819899869,7.866607291940365,3,1.0,False
dc98422025,54.3,a,depto,509.5,2539.1,4.0,4.0,0.84,0.84,6.23539063760472,7.839958729316341,4,0.9137589256654778,False
2eeab22025,53.5,a,depto,0.0,2512.1,4.0,4.0,0.84,0.84,0.0,7.829272329827873,5,1.0,False
48f37e2020,42.7,d,depto,1813.2,2208.0,1.0,1.0,0.0,0.0,7.5033998781808435,7.700295203420117,6,1.0,False
7508472019,66.8,d,casa_aislada,11400.8,3101.5,1.0,1.0,0.0,0.0,9.341526516655367,8.039963517078762,7,1.0,False
5f2f0f2022,51.9,b,depto,4648.6,3159.8,3.0,3.0,0.6,0.6,8.444536473375964,8.058580439097181,8,1.0,False
51cf1e2023,49.3,c,depto,1354.5,2647.7,3.0,3.0,0.6,0.6,7.21192566893872,7.881824232575647,9,0.9875304880894064,False
ed5d582023,49.9,d,depto,4791.5,2495.6,3.0,3.0,0.6,0.6,8.4748074749198,7.822685085216951,10,1.0,False
fd37d62025,47.0,e,casa_pareada,7674.3,2657.7,1.7,1.7,0.38,0.38,8.945762659639367,7.885592560507808,11,0.9374041651021634,False
39a3302025,37.6,d,depto,401.7,0.0,1.9,1.9,0.47,0.47,5.998191867857408,0.0,12,1.0,False
6428562026,51.3,e,depto,2236.6,2848.0,1.7,1.7,0.38,0.38,7.71315914188775,7.954723334497908,13,1.0,False
1dd6632025,48.3,e,casa_aislada,12181.5,2717.9,1.7,1.7,0.38,0.38,9.40775577471766,7.907982665728846,14,1.0,False
ab90e42020,46.2,f,casa_pareada,9445.2,2729.7,1.7,1.7,0.38,0.38,9.153367823215191,7.912313265567924,15,1.0,False
80b0d42024,50.0,f,casa_pareada,10085.0,2903.7,1.6,1.6,0.33,0.33,9.21890360263667,7.974085393729522,16,1.0,False
3bbd4a2022,77.7,d,casa_aislada,7616.8,3440.7,1.7,1.7,0.38,0.38,8.938242893084047,8.143720814344247,17,1.0,False
d60e1c2021,80.0,d,casa_aislada,12963.6,3509.8,1.9,1.9,0.47,0.47,9.469977845202184,8.163599210717962,18,0.7043487264189783,False
860a482019,53.6,f,casa_aislada,11649.2,3061.8,1.7,1.7,0.38,0.38,9.363078626228463,8.027084809238968,19,0.8932001294309782,False
516d142022,45.3,f,casa_aislada,10635.8,2686.9,1.6,1.6,0.33,0.33,9.27207496578102,7.8965154985700625,20,0.8515351663467915,False
fcba0f2021,49.5,f,depto,3619.6,2881.1,1.7,1.7,0.38,0.38,8.194395036941843,7.966274474083803,21,0.9845026846125702,False
01abe32024,48.6,f,depto,2756.4,2842.0,1.6,1.6,0.33,0.33,7.922043485737529,7.952615111650999,22,1.0,False
30d2072024,50.3,g,casa_aislada,13232.4,3013.8,1.6,1.6,0.33,0.33,9.490499215777858,8.011288771969316,23,1.0,False
2f4a922025,44.8,g,casa_aislada,16941.2,2750.8,1.1,1.1,0.28,0.28,9.73756282990352,7.920010521993716,24,1.0,False
82b80a2025,47.3,d,depto,2482.6,2394.1,1.9,1.9,0.47,0.47,7.817464399490738,7.781180262626801,25,1.0,False
246a4e2026,53.6,d,depto,2440.3,2637.5,1.7,1.7,0.38,0.38,7.8002859632919535,7.877965852845723,26,0.9473033159852763,False
c8d68a2024,50.4,d,casa_pareada,6683.8,2516.1,1.9,1.9,0.47,0.47,8.807591571362247,7.8308627241832145,27,1.0,False
b30e1b2024,49.8,g,depto,4216.6,2993.3,1.1,1.1,0.28,0.28,8.347021524868133,8.00446576036065,28,1.0,False
b458e62025,49.8,g,depto,3723.4,2993.3,1.6,1.6,0.33,0.33,8.222661044014375,8.00446576036065,29,1.0,False
0e77d02022,59.5,d,casa_pareada,2673.4,830.7,1.7,1.7,0.38,0.38,7.891480335105889,6.723471798874642,30,1.0,False
e54d7a2026,47.0,d,casa_pareada,4926.5,2381.7,1.7,1.7,0.38,0.38,8.502587039026876,7.775989577440603,31,0.9475685297071326,False
0ee0bb2025,58.7,d,casa_pareada,6242.3,2824.1,1.7,1.7,0.38,0.38,8.739264167727475,7.946299041184127,32,1.0,False
