cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
-1,602,6.02,56.9,63.32259136212624,49.0,72.2,1.7,2.498974358974359,1.7,4.0,1.7,2.498974358974359,1.7,4.0,0.38,0.42290598290598286,0.28,0.6,0.38,0.42290598290598286,0.28,0.6,8.783034307601167,7.736824378944607,7.276773057486167,9.391000998371462,7.9919305198524775,7.315324825020935,7.764220980066558,8.177094386739325,6521.65,7213.472591362126,1445.5,11979.1,2956.0,3546.0433554817278,2353.825,3557.5,d,45.68106312292359,casa_pareada,52.159468438538205,ruido / observacion atipica
0,97,0.97,56.5,56.355670103092784,52.3,58.6,0.6,0.5999999999999999,0.6,0.6,0.6,0.5999999999999999,0.6,0.6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,9.727656884272536,8.626343923841151,8.789050713521046,10.410172616001205,8.227108234348146,8.196435534828144,8.167777549159096,8.253383883376012,16774.2,19300.219587628868,6561.0,33194.6,3740.0,3642.6525773195867,3524.5,3839.6,i,100.0,casa_pareada,49.48453608247423,casa_pareada | i | sup_mediana 56 m2 | calef: 16774 kWh | acs: 3740 kWh
1,148,1.48,50.2,48.86621621621621,46.075,51.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.485092459484406,6.981832306090966,6.91045164052988,7.87558768803907,8.038065720929644,8.008735531414377,7.961326245804711,8.059307838360741,1780.3,2291.6425675675673,1001.7,2631.3,3095.65,3015.964864864865,2866.875,3162.1,b,100.0,depto,75.0,depto | b | sup_mediana 50 m2 | calef: 1780 kWh | acs: 3096 kWh
2,236,2.36,51.0,50.89745762711864,47.9,53.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.205207085270279,6.732685284840569,6.596567339572351,7.680892839493133,7.907982665728846,7.892388707070324,7.844797391061453,7.941686814175914,1345.45,1620.2847457627122,731.6,2165.725,2717.9,2742.5262711864407,2551.4249999999997,2811.1,c,100.0,depto,100.0,depto | c | sup_mediana 51 m2 | calef: 1345 kWh | acs: 2718 kWh
3,71,0.7100000000000001,53.1,51.45352112676057,47.4,53.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000003,0.84,0.84,0.84,0.8400000000000003,0.84,0.84,8.306175819899869,8.322167320369156,7.964538173927206,8.596604930797742,7.939693434382254,7.905313479525122,7.851077349907323,7.939693434382254,4047.8,4528.164788732393,2877.55,5412.25,2805.5,2726.7549295774647,2567.5,2805.5,c,100.0,casa_pareada,100.0,casa_pareada | c | sup_mediana 53 m2 | calef: 4048 kWh | acs: 2806 kWh
4,258,2.58,55.0,54.09961240310078,51.05,56.875,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,6.16046258460276,6.003063037502812,5.466996661620245,6.947701599817944,7.849791727274708,7.793416011182902,7.785138848540809,7.908460685998653,472.65,784.8523255813953,235.75,1039.775,2564.2,2463.586434108527,2403.6,2719.2,a,100.0,depto,100.0,depto | a | sup_mediana 55 m2 | calef: 473 kWh | acs: 2564 kWh
5,169,1.69,53.5,52.405325443786985,46.7,59.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,0.0,0.00782261817218787,0.0,0.0,7.829948556508906,7.833678647428484,7.728987799305301,7.914617709040679,0.0,0.013609467455621303,0.0,0.0,2513.8,2568.2615384615383,2272.3,2736.0,a,100.0,depto,100.0,depto | a | sup_mediana 54 m2 | calef: 0 kWh | acs: 2514 kWh
6,123,1.23,43.6,55.05853658536585,30.85,57.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.277800441859041,7.194393549185419,6.67041671646499,8.037714219201613,7.75394363601637,7.617305403272061,7.405208971749643,8.163836578842766,1446.8,2234.1609756097564,788.2,3094.7,2330.05,2799.4649999999997,1643.5500000000002,3511.625,d,100.0,depto,100.0,depto | d | sup_mediana 44 m2 | calef: 1447 kWh | acs: 2330 kWh
7,93,0.9299999999999999,70.0,69.19139784946236,51.6,87.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.313708904953216,9.098413849568901,8.723003384279096,9.504292744941322,8.039963517078762,7.954455857451106,7.783682244666731,8.220725975683184,11088.0,10364.653763440858,6141.6,13416.2,3101.5,3003.6838709677418,2400.1,3716.2,d,100.0,casa_aislada,56.98924731182796,casa_aislada | d | sup_mediana 70 m2 | calef: 11088 kWh | acs: 3102 kWh
8,80,0.8,49.8,48.13625,43.7,51.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.5999999999999999,0.6,0.6,0.6,0.5999999999999999,0.6,0.6,8.365377699984862,8.424286497165053,8.158632222467924,8.801840471661302,8.027117458568844,7.994304675745868,7.9229497261707476,8.058580439097181,4294.75,5390.365,3492.475,6652.8,3061.9,2973.81875,2758.9,3159.8,b,100.0,depto,53.75,depto | b | sup_mediana 50 m2 | calef: 4295 kWh | acs: 3062 kWh
9,239,2.39,49.3,50.84602510460251,43.1,55.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.5999999999999996,0.6,0.6,0.6,0.5999999999999996,0.6,0.6,7.125765678184599,6.335549009566132,6.014627159076457,7.695348628799183,7.875613267712699,7.313642104897498,7.730218731012139,7.95338864285936,1242.6,1521.6853556485357,409.05,2197.1,2631.3,2711.1723849372383,2275.1,2844.2,c,100.0,depto,100.0,depto | c | sup_mediana 49 m2 | calef: 1243 kWh | acs: 2631 kWh
