random_state,cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar
101,-1,2051,20.51,44.6,49.617064846416376,32.8,57.599999999999994,1.9,2.038853503184713,1.9,1.9,1.9,2.038853503184713,1.9,1.9,0.47,0.47866731994120515,0.47,0.47,0.47,0.47866731994120515,0.47,0.47,7.527524989737307,7.233104196884321,6.440547581112784,8.315196403245086,7.815328120236569,7.709097540647524,7.491226998202082,8.16161761817511,1857.5,3895.0678693320333,625.75,4084.5,2477.3,4190.589463414634,1791.25,3502.8500000000004,d,88.83471477328133,depto,81.17991223793271,ruido / observacion atipica
101,0,100,1.0,56.7,56.484000000000016,52.3,58.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,9.734184657263842,8.920158380095877,8.953934816715574,10.407607987673822,8.227108234348146,8.201432574132133,8.167777549159096,8.253383883376012,16885.4,19769.241,7738.450000000001,33109.575,3740.0,3655.738999999999,3524.5,3839.6,i,100.0,casa_pareada,47.0,casa_pareada | i | sup_mediana 57 m2 | calef: 16885 kWh | acs: 3740 kWh
101,1,64,0.64,46.2,48.609375,44.325,54.9,4.0,3.8125,4.0,4.0,4.0,3.8125,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.875447286301499,5.705742774639223,4.9346623803526715,8.038521812469648,7.8001221027369185,5.576015980938276,0.0,7.884901143829278,356.65,1410.74375,139.55,3097.125,2439.9,2213.2109375,0.0,2656.4,c,57.8125,depto,76.5625,depto | c | sup_mediana 46 m2 | calef: 357 kWh | acs: 2440 kWh
101,2,139,1.39,49.2,47.92661870503597,45.1,51.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.494485830837592,7.279573383237626,6.963184597606352,8.134084032978585,8.016614884101797,7.987120182296559,7.921825865773665,8.059307838360741,1797.1,2674.78273381295,1056.5,3409.55,3029.9,2956.820143884892,2755.8,3162.1,b,100.0,depto,74.82014388489209,depto | b | sup_mediana 49 m2 | calef: 1797 kWh | acs: 3030 kWh
101,3,253,2.53,50.5,49.57193675889329,46.8,53.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.165725287448392,6.793630905587874,6.5809164913291625,7.718063079315659,7.900636613018005,7.8799261644959175,7.8287549065840265,7.9377674761579895,1293.3,1679.9592885375496,720.2,2247.6,2698.0,2719.2450592885375,2510.8,2800.1,c,100.0,depto,100.0,depto | c | sup_mediana 50 m2 | calef: 1293 kWh | acs: 2698 kWh
101,4,60,0.6,51.0,50.775000000000006,47.4,53.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000002,0.84,0.84,0.84,0.8400000000000002,0.84,0.84,8.277005179302517,8.249465597838922,7.932792786658184,8.545587015221953,7.907482368656996,7.899809101598308,7.851077349907323,7.939693434382254,3931.4,4128.1849999999995,2786.2,5143.025,2717.95,2704.4483333333337,2567.5,2805.5,c,100.0,casa_pareada,100.0,casa_pareada | c | sup_mediana 51 m2 | calef: 3931 kWh | acs: 2718 kWh
101,5,207,2.07,55.0,54.25410628019323,50.5,59.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,6.112353864383436,5.838323026487797,4.930509184405482,6.729093752023818,7.849791727274708,7.7866327173605105,7.775317844764939,7.914617709040679,450.4,644.8917874396137,137.45,835.4000000000001,2564.2,2453.834782608696,2380.1,2736.0,a,100.0,depto,100.0,depto | a | sup_mediana 55 m2 | calef: 450 kWh | acs: 2564 kWh
101,6,191,1.91,52.2,51.68115183246073,46.7,58.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000002,0.84,0.84,0.84,0.8400000000000002,0.84,0.84,0.0,0.03052202002693157,0.0,0.0,7.827878656876468,7.808695136424157,7.722810309775416,7.908460685998653,0.0,0.049738219895287955,0.0,0.0,2508.6,2509.062827225131,2258.3,2719.2,a,100.0,depto,100.0,depto | a | sup_mediana 52 m2 | calef: 0 kWh | acs: 2509 kWh
101,7,125,1.25,43.7,49.144800000000004,30.8,54.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.277800441859041,7.082709803306247,6.6199398643073435,7.877548862373599,7.737790711604204,7.384498165775662,7.397835799694636,8.166301492233233,1446.8,1884.2824,748.9,2636.4,2292.4,2778.827419354838,1631.65,3519.3,d,100.0,depto,100.0,depto | d | sup_mediana 44 m2 | calef: 1447 kWh | acs: 2292 kWh
101,8,86,0.86,65.44999999999999,68.63837209302326,49.7,87.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.126819769475855,9.024732666964345,8.440937573535011,9.4809095872765,7.9991750970687425,7.974741022151625,7.817383867982742,8.220725975683184,9198.0,9571.029069767443,4637.175,13106.175000000001,2977.5,3013.070930232558,2482.4,3716.2,d,100.0,casa_pareada,50.0,casa_pareada | d | sup_mediana 65 m2 | calef: 9198 kWh | acs: 2978 kWh
101,9,85,0.8500000000000001,49.8,47.544705882352936,42.5,51.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,8.273642830324365,8.427621203481273,8.162288108919773,8.753434590199623,8.000885904081008,7.977129981414564,7.900932975174727,8.058580439097181,3918.2,5494.448235294118,3505.2,6331.4,2982.6,2927.6847058823532,2698.8,3159.8,b,100.0,depto,47.05882352941176,depto | b | sup_mediana 50 m2 | calef: 3918 kWh | acs: 2983 kWh
