random_state,cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,log_calef_proyec_kwh_mediana,log_calef_proyec_kwh_media,log_calef_proyec_kwh_p25,log_calef_proyec_kwh_p75,log_acs_proyec_kwh_mediana,log_acs_proyec_kwh_media,log_acs_proyec_kwh_p25,log_acs_proyec_kwh_p75,calef_proyec_kwh_mediana,calef_proyec_kwh_media,calef_proyec_kwh_p25,calef_proyec_kwh_p75,acs_proyec_kwh_mediana,acs_proyec_kwh_media,acs_proyec_kwh_p25,acs_proyec_kwh_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,etiqueta_arquetipo_preliminar,silhouette_media
101,36,1522,15.22,49.4,49.887253613666225,47.7,52.1,1.9,1.8999999999999995,1.9,1.9,1.9,1.8999999999999995,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,8.283506729921346,8.241159469546654,7.799014915012056,8.687855195123422,7.815166706249697,7.802630337910691,7.781180262626801,7.856629360752312,3957.05,4398.387647831801,2437.2,5929.45,2476.9,2459.737606837607,2394.1,2581.8,d,100.0,depto,100.0,depto | d | sup_mediana 49 m2 | calef: 3957 kWh | acs: 2477 kWh,0.5735753909339352
101,21,647,6.47,51.0,52.93091190108192,45.05,57.8,1.9,1.9000000000000004,1.9,1.9,1.9,1.9000000000000004,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,8.80856345412503,8.797773679710282,8.576940550939106,9.011682003556617,7.818470496523107,7.818291693151685,7.719374126939849,7.9287663216266955,6690.3,7198.999381761978,5306.85,8197.3,2485.1,2531.95486862442,2250.55,2775.0,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 51 m2 | calef: 6690 kWh | acs: 2485 kWh,0.7719923317218282
101,12,428,4.279999999999999,50.15,49.08154205607477,44.1,57.5,1.7,1.6999999999999995,1.7,1.7,1.7,1.6999999999999995,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,7.683263208074065,7.367455597047259,7.028463528419202,8.341584703933306,7.952474405304911,7.946572122079118,7.834985950894627,8.044080734770414,2170.7,3023.998364485981,1127.3,4193.925,2841.6,3073.228504672897,2526.5,3114.3,e,100.0,depto,100.0,depto | e | sup_mediana 50 m2 | calef: 2171 kWh | acs: 2842 kWh,0.8395372600600363
101,23,352,3.52,83.2,85.29715909090909,63.1,98.4,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,9.456621461091977,9.456423607679742,9.232045184703072,9.781276399015818,8.172192692323142,8.15522083309883,7.9991750970687425,8.282122169973297,12791.6,14477.276420454546,10218.425,17698.4,3540.1,3546.1582386363634,2977.5,3951.575,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 83 m2 | calef: 12792 kWh | acs: 3540 kWh,0.6952355535602113
101,37,304,3.04,30.6,30.43026315789474,29.0,31.8,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,7.057422456558634,7.09324869240834,6.753260617938255,7.419140746006642,7.379725698947599,7.355728294290663,7.2408928912501995,7.4821189235521155,1160.4499999999998,1321.7243421052633,855.85,1666.6,1602.15,1582.7338815789474,1394.35,1775.0,d,100.0,depto,100.0,depto | d | sup_mediana 31 m2 | calef: 1160 kWh | acs: 1602 kWh,0.6787991761740473
101,19,276,2.76,46.45,49.33115942028985,44.8,52.0,1.7,1.6999999999999997,1.7,1.7,1.7,1.6999999999999997,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,9.126352921720557,9.029416790480107,8.823000013726565,9.28178054613739,7.916815583589211,7.94793374755374,7.882654483963062,8.004064918587572,9193.5,9086.97463768116,6787.6,10739.675,2742.05,2844.625724637681,2649.9,2992.1,f,100.0,casa_pareada,100.0,casa_pareada | f | sup_mediana 46 m2 | calef: 9194 kWh | acs: 2742 kWh,0.7260347300723853
101,16,260,2.6,50.1,50.96346153846154,49.4,53.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,8.421986883561782,8.323473851214224,8.032772894469735,8.701464844887681,7.826083932881858,7.834769300692551,7.8149548070254475,7.882050733142866,4544.95,4732.064230769231,3079.275,6010.725,2504.1,2532.4526923076924,2476.375,2648.3,d,100.0,depto,100.0,depto | d | sup_mediana 50 m2 | calef: 4545 kWh | acs: 2504 kWh,0.9354716429956063
101,3,253,2.53,50.5,49.57193675889329,46.8,53.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,7.165725287448392,6.793630905587874,6.5809164913291625,7.718063079315659,7.900636613018005,7.8799261644959175,7.8287549065840265,7.9377674761579895,1293.3,1679.9592885375496,720.2,2247.6,2698.0,2719.2450592885375,2510.8,2800.1,c,100.0,depto,100.0,depto | c | sup_mediana 50 m2 | calef: 1293 kWh | acs: 2698 kWh,0.853254838680897
101,28,244,2.44,53.4,52.51229508196721,48.9,55.0,1.7,1.6999999999999993,1.7,1.7,1.7,1.6999999999999993,1.7,1.7,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,7.882031589164642,7.781406886849558,7.286481436906852,8.34620630997814,7.8612647213389,7.829152203899257,7.786468746500926,7.883031643204163,2648.25,3169.8934426229507,1459.425,4213.174999999999,2593.8,2548.8622950819677,2406.8,2650.9,d,100.0,depto,100.0,depto | d | sup_mediana 53 m2 | calef: 2648 kWh | acs: 2594 kWh,0.7720458947996702
101,29,231,2.31,46.9,43.709090909090904,38.75,52.2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.33,0.32999999999999996,0.33,0.33,0.33,0.32999999999999996,0.33,0.33,8.098156403277978,7.9958418175856165,7.5957635842425,8.372257539213432,7.957387385428528,7.890283319014378,7.805005309169685,8.039737867125353,3287.4,3457.328571428571,1988.75,4324.4,2855.6,2726.3004329004334,2451.85,3100.8,g,100.0,depto,100.0,depto | g | sup_mediana 47 m2 | calef: 3287 kWh | acs: 2856 kWh,0.8030524083400065
102,26,3323,33.23,47.2,46.01005115859163,34.6,51.2,1.9,1.8999999999999997,1.9,1.9,1.9,1.8999999999999997,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,7.725771441587952,7.553038675332285,7.057897878163303,8.387460169830671,7.800818324736988,7.847870476651902,7.541736148872866,7.902006552325504,2265.0,3054.8139632861876,1161.0,4390.65,2441.6,3948.744354110208,1884.1,2701.7,d,100.0,depto,100.0,depto | d | sup_mediana 47 m2 | calef: 2265 kWh | acs: 2442 kWh,0.5854242820292397
102,29,681,6.81,51.0,52.44464023494861,45.0,57.8,1.9,1.9000000000000001,1.9,1.9,1.9,1.9000000000000001,1.9,1.9,0.47,0.4699999999999999,0.47,0.47,0.47,0.4699999999999999,0.47,0.47,8.796051448258222,8.772243396771405,8.57516016717077,8.999705756679646,7.817222785508166,7.796989562995189,7.719174264620118,7.9287663216266955,6607.1,7039.780176211455,5297.4,8099.7,2482.0,2493.7044052863434,2250.1,2775.0,d,100.0,casa_pareada,100.0,casa_pareada | d | sup_mediana 51 m2 | calef: 6607 kWh | acs: 2482 kWh,0.7473336405044064
102,14,397,3.9699999999999998,49.4,48.594710327455914,42.8,57.2,1.7,1.6999999999999997,1.7,1.7,1.7,1.6999999999999997,1.7,1.7,0.38,0.38000000000000006,0.38,0.38,0.38,0.38000000000000006,0.38,0.38,7.616775808698373,7.418169064138066,6.995308175989998,8.341767801310125,7.954266929904875,7.944419201719873,7.840431040105615,8.044080734770414,2031.0,3021.3732997481106,1090.5,4194.5,2846.7,3047.367002518892,2540.3,3114.3,e,100.0,depto,100.0,depto | e | sup_mediana 49 m2 | calef: 2031 kWh | acs: 2847 kWh,0.8181904575338129
102,21,363,3.63,81.1,84.29779614325068,63.1,98.75,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,9.491926401255911,9.495306700102986,9.306543760508177,9.774282691158685,8.143720814344247,8.154305943516242,7.9991750970687425,8.286243932167622,13251.3,14586.891460055096,11008.85,17575.0,3440.7,3536.2267217630856,2977.5,3967.8999999999996,d,100.0,casa_aislada,100.0,casa_aislada | d | sup_mediana 81 m2 | calef: 13251 kWh | acs: 3441 kWh,0.7011259905787751
