cluster_hdbscan,variable,moda,frecuencia_moda,pct_moda,n_categorias,top_categorias
-1,zona_termica,d,2398,55.76744186046512,9,d: 2398 (55.8%); f: 398 (9.3%); c: 376 (8.7%); a: 312 (7.3%); e: 256 (6.0%); g: 234 (5.4%); b: 197 (4.6%); i: 114 (2.7%)
-1,tipo_inmueble,depto,2972,69.11627906976744,4,depto: 2972 (69.1%); casa_pareada: 703 (16.3%); casa_aislada: 601 (14.0%); <NA>: 24 (0.6%)
-1,calef_proyec,no posee,2792,64.93023255813954,141,no posee: 2792 (64.9%); 0: 181 (4.2%); no aplica: 179 (4.2%); no considera: 145 (3.4%); sin sistema: 103 (2.4%); estufa a gas: 47 (1.1%); calefactor electrico: 44 (1.0%); radiador eléctrico: 38 (0.9%)
-1,acs_proyec,calefont 7 litros tiro forzado,477,11.093023255813954,388,calefont 7 litros tiro forzado: 477 (11.1%); calefont glp: 375 (8.7%); calefont 10 litros tiro forzado: 231 (5.4%); calefont: 159 (3.7%); calefont 13 litros tiro forzado: 138 (3.2%); termo eléctrico: 80 (1.9%); calefon: 71 (1.7%); calefont 11 litros tiro forzado: 52 (1.2%)
0,zona_termica,d,32,50.79365079365079,2,d: 32 (50.8%); c: 31 (49.2%)
0,tipo_inmueble,depto,52,82.53968253968253,3,depto: 52 (82.5%); casa_pareada: 6 (9.5%); casa_aislada: 5 (7.9%)
0,calef_proyec,calefactor electrico,63,100.0,1,calefactor electrico: 63 (100.0%)
0,acs_proyec,calefont 10 litros gl,37,58.730158730158735,2,calefont 10 litros gl: 37 (58.7%); calefont 12 litros gl: 26 (41.3%)
1,zona_termica,d,79,92.94117647058823,2,d: 79 (92.9%); e: 6 (7.1%)
1,tipo_inmueble,casa_pareada,42,49.411764705882355,3,casa_pareada: 42 (49.4%); casa_aislada: 23 (27.1%); depto: 20 (23.5%)
1,calef_proyec,estufa kerosene 3 kw,85,100.0,1,estufa kerosene 3 kw: 85 (100.0%)
1,acs_proyec,calefon tiro natural 10 lts +sst,85,100.0,1,calefon tiro natural 10 lts +sst: 85 (100.0%)
2,zona_termica,d,166,89.72972972972974,3,d: 166 (89.7%); e: 16 (8.6%); f: 3 (1.6%)
2,tipo_inmueble,depto,102,55.13513513513514,3,depto: 102 (55.1%); casa_aislada: 46 (24.9%); casa_pareada: 37 (20.0%)
2,calef_proyec,no posee,185,100.0,1,no posee: 185 (100.0%)
2,acs_proyec,calefont 7 litros tiro forzado,65,35.13513513513514,24,"calefont 7 litros tiro forzado: 65 (35.1%); calefont 10 litros tiro forzado: 27 (14.6%); central térmica con 10 calefones de condesación, marca anwo,: 12 (6.5%); central térmica con 8 calentadores de agua, marca anwo,: 10 (5.4%); calefont: 10 (5.4%); 5 calderas de gas natural genus premium evo hp 150 de 140: 9 (4.9%); termo eléctrico mural con mezclador marca winter de 80 l: 6 (3.2%); caldera de condensación: 6 (3.2%)"
3,zona_termica,c,149,82.32044198895028,2,c: 149 (82.3%); b: 32 (17.7%)
3,tipo_inmueble,depto,162,89.50276243093923,2,depto: 162 (89.5%); casa_pareada: 19 (10.5%)
3,calef_proyec,no posee,181,100.0,1,no posee: 181 (100.0%)
3,acs_proyec,calefont 7 litros tiro forzado,181,100.0,1,calefont 7 litros tiro forzado: 181 (100.0%)
4,zona_termica,a,66,100.0,1,a: 66 (100.0%)
4,tipo_inmueble,depto,66,100.0,1,depto: 66 (100.0%)
4,calef_proyec,no posee,66,100.0,1,no posee: 66 (100.0%)
4,acs_proyec,"calefon splendid mvg tfi de 10 litros, de 17,6 kw potencia",38,57.57575757575758,4,"calefon splendid mvg tfi de 10 litros, de 17,6 kw potencia: 38 (57.6%); termo eléctrico anwo van200l, potencia 3.0 kw: 25 (37.9%); calefont splendid master ion tiro forzado 10 litros, de 17,6: 2 (3.0%); calefon splendid sb tfi 10 2 ev de 10 litros, gas licuado: 1 (1.5%)"
5,zona_termica,a,87,100.0,1,a: 87 (100.0%)
5,tipo_inmueble,depto,87,100.0,1,depto: 87 (100.0%)
5,calef_proyec,no posee,87,100.0,1,no posee: 87 (100.0%)
5,acs_proyec,calefont 7 litros tiro forzado,87,100.0,1,calefont 7 litros tiro forzado: 87 (100.0%)
6,zona_termica,a,79,100.0,1,a: 79 (100.0%)
6,tipo_inmueble,depto,79,100.0,1,depto: 79 (100.0%)
6,calef_proyec,no posee,79,100.0,1,no posee: 79 (100.0%)
6,acs_proyec,calefont 7 litros tiro forzado,79,100.0,1,calefont 7 litros tiro forzado: 79 (100.0%)
7,zona_termica,d,57,100.0,1,d: 57 (100.0%)
7,tipo_inmueble,casa_pareada,56,98.24561403508771,2,casa_pareada: 56 (98.2%); casa_aislada: 1 (1.8%)
7,calef_proyec,no posee,57,100.0,1,no posee: 57 (100.0%)
7,acs_proyec,calefont tiro forzado,57,100.0,1,calefont tiro forzado: 57 (100.0%)
8,zona_termica,d,85,100.0,1,d: 85 (100.0%)
8,tipo_inmueble,depto,85,100.0,1,depto: 85 (100.0%)
8,calef_proyec,no posee,85,100.0,1,no posee: 85 (100.0%)
8,acs_proyec,termo eléctrico,52,61.1764705882353,5,termo eléctrico: 52 (61.2%); el edificio cuenta con 2 calderas para el edificio sur y 3 calderas: 22 (25.9%); caldera: 7 (8.2%); central termica bomba calor aerotermica - electricidad: 3 (3.5%); calefón con condensación: 1 (1.2%)
9,zona_termica,d,52,100.0,1,d: 52 (100.0%)
9,tipo_inmueble,casa_pareada,52,100.0,1,casa_pareada: 52 (100.0%)
9,calef_proyec,no posee,52,100.0,1,no posee: 52 (100.0%)
9,acs_proyec,calefont,52,100.0,1,calefont: 52 (100.0%)
10,zona_termica,d,58,100.0,1,d: 58 (100.0%)
10,tipo_inmueble,casa_pareada,58,100.0,1,casa_pareada: 58 (100.0%)
10,calef_proyec,no posee,58,100.0,1,no posee: 58 (100.0%)
10,acs_proyec,calefont,58,100.0,1,calefont: 58 (100.0%)
11,zona_termica,d,129,100.0,1,d: 129 (100.0%)
11,tipo_inmueble,depto,129,100.0,1,depto: 129 (100.0%)
11,calef_proyec,no posee,129,100.0,1,no posee: 129 (100.0%)
11,acs_proyec,calefont 10 litros tiro forzado,121,93.7984496124031,6,"calefont 10 litros tiro forzado: 121 (93.8%); calefont 10 litros tiro forzado, gas natural: 4 (3.1%); calefont gas licuado: 1 (0.8%); calefont tiro forzado 13 litros: 1 (0.8%); calefont tiro forzado 12 litros: 1 (0.8%); el edificio cuenta con 2 bombas de calor midea rsj800 y un: 1 (0.8%)"
12,zona_termica,d,83,100.0,1,d: 83 (100.0%)
12,tipo_inmueble,depto,83,100.0,1,depto: 83 (100.0%)
12,calef_proyec,no posee,83,100.0,1,no posee: 83 (100.0%)
12,acs_proyec,sala de calderas,83,100.0,1,sala de calderas: 83 (100.0%)
13,zona_termica,d,78,100.0,1,d: 78 (100.0%)
13,tipo_inmueble,depto,78,100.0,1,depto: 78 (100.0%)
13,calef_proyec,no posee,78,100.0,1,no posee: 78 (100.0%)
13,acs_proyec,caldera condensación,73,93.58974358974359,2,caldera condensación: 73 (93.6%); calderas de condensación: 5 (6.4%)
14,zona_termica,f,82,100.0,1,f: 82 (100.0%)
14,tipo_inmueble,casa_aislada,82,100.0,1,casa_aislada: 82 (100.0%)
14,calef_proyec,no posee,82,100.0,1,no posee: 82 (100.0%)
14,acs_proyec,calefont 7 litros tiro forzado,82,100.0,1,calefont 7 litros tiro forzado: 82 (100.0%)
15,zona_termica,f,68,100.0,1,f: 68 (100.0%)
15,tipo_inmueble,casa_aislada,68,100.0,1,casa_aislada: 68 (100.0%)
15,calef_proyec,no posee,68,100.0,1,no posee: 68 (100.0%)
15,acs_proyec,calefont 10 litros tiro forzado,68,100.0,1,calefont 10 litros tiro forzado: 68 (100.0%)
16,zona_termica,f,92,100.0,1,f: 92 (100.0%)
16,tipo_inmueble,casa_pareada,92,100.0,1,casa_pareada: 92 (100.0%)
16,calef_proyec,no posee,92,100.0,1,no posee: 92 (100.0%)
16,acs_proyec,calefont 7 litros tiro forzado,92,100.0,1,calefont 7 litros tiro forzado: 92 (100.0%)
17,zona_termica,g,80,100.0,1,g: 80 (100.0%)
17,tipo_inmueble,casa_aislada,80,100.0,1,casa_aislada: 80 (100.0%)
17,calef_proyec,no posee,80,100.0,1,no posee: 80 (100.0%)
17,acs_proyec,calefont 7 litros,36,45.0,3,calefont 7 litros: 36 (45.0%); calefon: 32 (40.0%); calefont 10 litros tiro forzado: 12 (15.0%)
18,zona_termica,d,73,100.0,1,d: 73 (100.0%)
18,tipo_inmueble,depto,73,100.0,1,depto: 73 (100.0%)
18,calef_proyec,no posee,73,100.0,1,no posee: 73 (100.0%)
18,acs_proyec,caldera a condensación,72,98.63013698630137,2,caldera a condensación: 72 (98.6%); termo eléctrico marca winter 80 litros.: 1 (1.4%)
19,zona_termica,f,87,100.0,1,f: 87 (100.0%)
19,tipo_inmueble,casa_aislada,87,100.0,1,casa_aislada: 87 (100.0%)
19,calef_proyec,no posee,87,100.0,1,no posee: 87 (100.0%)
19,acs_proyec,calefont glp,87,100.0,1,calefont glp: 87 (100.0%)
20,zona_termica,g,56,100.0,1,g: 56 (100.0%)
20,tipo_inmueble,casa_aislada,56,100.0,1,casa_aislada: 56 (100.0%)
20,calef_proyec,no posee,56,100.0,1,no posee: 56 (100.0%)
20,acs_proyec,calefont glp,56,100.0,1,calefont glp: 56 (100.0%)
21,zona_termica,e,116,100.0,1,e: 116 (100.0%)
21,tipo_inmueble,casa_aislada,116,100.0,1,casa_aislada: 116 (100.0%)
21,calef_proyec,no posee,116,100.0,1,no posee: 116 (100.0%)
21,acs_proyec,calefont glp,116,100.0,1,calefont glp: 116 (100.0%)
22,zona_termica,g,93,100.0,1,g: 93 (100.0%)
22,tipo_inmueble,depto,93,100.0,1,depto: 93 (100.0%)
22,calef_proyec,no posee,93,100.0,1,no posee: 93 (100.0%)
22,acs_proyec,calefont 7 litros tiro forzado,93,100.0,1,calefont 7 litros tiro forzado: 93 (100.0%)
23,zona_termica,g,81,100.0,1,g: 81 (100.0%)
23,tipo_inmueble,depto,81,100.0,1,depto: 81 (100.0%)
23,calef_proyec,no posee,81,100.0,1,no posee: 81 (100.0%)
23,acs_proyec,calefont 10 litros tiro forzado,81,100.0,1,calefont 10 litros tiro forzado: 81 (100.0%)
24,zona_termica,d,92,100.0,1,d: 92 (100.0%)
24,tipo_inmueble,depto,92,100.0,1,depto: 92 (100.0%)
24,calef_proyec,no posee,92,100.0,1,no posee: 92 (100.0%)
24,acs_proyec,calefont tiro forzado,92,100.0,1,calefont tiro forzado: 92 (100.0%)
25,zona_termica,e,57,100.0,1,e: 57 (100.0%)
25,tipo_inmueble,casa_pareada,57,100.0,1,casa_pareada: 57 (100.0%)
25,calef_proyec,no posee,57,100.0,1,no posee: 57 (100.0%)
25,acs_proyec,calefont glp,57,100.0,1,calefont glp: 57 (100.0%)
26,zona_termica,f,56,100.0,1,f: 56 (100.0%)
26,tipo_inmueble,casa_pareada,56,100.0,1,casa_pareada: 56 (100.0%)
26,calef_proyec,no aplica,56,100.0,1,no aplica: 56 (100.0%)
26,acs_proyec,calefont glp,56,100.0,1,calefont glp: 56 (100.0%)
27,zona_termica,f,134,100.0,1,f: 134 (100.0%)
27,tipo_inmueble,casa_pareada,134,100.0,1,casa_pareada: 134 (100.0%)
27,calef_proyec,no posee,134,100.0,1,no posee: 134 (100.0%)
27,acs_proyec,calefont glp,134,100.0,1,calefont glp: 134 (100.0%)
28,zona_termica,d,129,100.0,1,d: 129 (100.0%)
28,tipo_inmueble,depto,129,100.0,1,depto: 129 (100.0%)
28,calef_proyec,no posee,129,100.0,1,no posee: 129 (100.0%)
28,acs_proyec,caldera de condensación,124,96.12403100775194,6,"caldera de condensación: 124 (96.1%); calefont 10 litros tiro forzado, gas natural: 1 (0.8%); el edificio cuenta con 5 calderas de gas natural, riello condexa: 1 (0.8%); caldera a gas centralizada: 1 (0.8%); en definición, se utiliza por defecto en precalificación.: 1 (0.8%); el edificio cuenta con 2 calderas sime 2r10 de 154.500 kcal/h: 1 (0.8%)"
29,zona_termica,f,63,100.0,1,f: 63 (100.0%)
29,tipo_inmueble,depto,63,100.0,1,depto: 63 (100.0%)
29,calef_proyec,no posee,63,100.0,1,no posee: 63 (100.0%)
29,acs_proyec,calefont glp,63,100.0,1,calefont glp: 63 (100.0%)
30,zona_termica,d,60,100.0,1,d: 60 (100.0%)
30,tipo_inmueble,depto,60,100.0,1,depto: 60 (100.0%)
