document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec,acs_proyec,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,cluster_hdbscan,cluster_probability,cluster_is_noise
a44cb92024,53.1,c,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,3,1.0,False
d6ee9f2024,56.8,d,depto,no posee,caldera centralizada,1.9,1.9,0.47,0.47,-1,0.0,True
a2c4282025,43.7,b,casa_pareada,no posee,calefont glp,3.0,3.0,0.6,0.6,-1,0.0,True
4c651e2023,49.2,d,depto,no posee,calefon,1.9,1.9,0.47,0.47,-1,0.0,True
3c8f8e2021,92.0,d,casa_aislada,no posee,calefont,1.9,1.9,0.47,0.47,-1,0.0,True
48d14c2021,54.5,a,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,5,1.0,False
c236942025,47.8,d,casa_pareada,no posee,calefont glp,1.9,1.9,0.47,0.47,39,0.666666652366985,False
947f002023,39.3,d,depto,no posee,caldera central a gas,1.9,1.9,0.47,0.47,30,1.0,False
1fe8d72024,60.1,f,casa_aislada,no posee,calefont 10 litros tiro forzado,1.6,1.6,0.33,0.33,15,0.33563144940949097,False
ef31872026,49.8,g,depto,no posee,calefont 10 litros tiro forzado,1.1,1.1,0.28,0.28,23,1.0,False
b7192e2024,34.8,d,depto,no considera,calefont,1.9,1.9,0.47,0.47,50,0.00881953798648314,False
07e3992025,27.0,d,depto,sin sistema,caldera,1.9,1.9,0.47,0.47,-1,0.0,True
c8ff1d2021,42.0,d,casa_pareada,no posee,calefont glp,1.9,1.9,0.47,0.47,40,1.0,False
f5fde72024,34.0,d,depto,no posee,central térmica. caldera de condensación con acumuladores,1.9,1.9,0.47,0.47,-1,0.0,True
0a87552026,38.9,g,depto,no posee,calefon,1.6,1.6,0.33,0.33,-1,0.0,True
571d292024,55.5,d,casa_pareada,no posee,calefont,1.9,1.9,0.47,0.47,10,1.0,False
d9491d2024,48.6,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,60,1.0,False
b6c8142023,37.1,d,depto,no posee,calefón de condensación,1.9,1.9,0.47,0.47,-1,0.0,True
7db1f02021,46.9,g,depto,no posee,calefont. tiro forzado,1.6,1.6,0.33,0.33,-1,0.0,True
17689e2024,49.4,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,60,1.0,False
88c59a2021,74.1,d,casa_aislada,no posee,calefont,1.9,1.9,0.47,0.47,-1,0.0,True
fdaa482023,29.5,d,depto,no posee,central termica bomba calor aerotermica - electricidad,1.9,1.9,0.47,0.47,-1,0.0,True
533cf22019,51.7,d,depto,no posee,calefont 7 litros tiro forzado,1.9,1.9,0.47,0.47,58,1.0,False
