cluster_hdbscan,variable,categoria,frecuencia,pct_cluster,n_categorias
-1,zona_termica,d,2398,55.76744186046512,9
-1,zona_termica,f,398,9.255813953488373,9
-1,zona_termica,c,376,8.744186046511627,9
-1,zona_termica,a,312,7.255813953488372,9
-1,zona_termica,e,256,5.953488372093023,9
-1,zona_termica,g,234,5.441860465116279,9
-1,zona_termica,b,197,4.5813953488372094,9
-1,zona_termica,i,114,2.6511627906976742,9
-1,zona_termica,h,15,0.3488372093023256,9
-1,tipo_inmueble,depto,2972,69.11627906976744,4
-1,tipo_inmueble,casa_pareada,703,16.348837209302324,4
-1,tipo_inmueble,casa_aislada,601,13.976744186046512,4
-1,tipo_inmueble,,24,0.5581395348837209,4
-1,calef_proyec,no posee,2792,64.93023255813954,141
-1,calef_proyec,0,181,4.209302325581396,141
-1,calef_proyec,no aplica,179,4.162790697674419,141
-1,calef_proyec,no considera,145,3.372093023255814,141
-1,calef_proyec,sin sistema,103,2.395348837209302,141
-1,calef_proyec,estufa a gas,47,1.0930232558139534,141
-1,calef_proyec,calefactor electrico,44,1.0232558139534882,141
-1,calef_proyec,radiador eléctrico,38,0.8837209302325582,141
-1,calef_proyec,"central térmica, 3 calderas murales de condensación",35,0.813953488372093,141
-1,calef_proyec,losa radiante,23,0.5348837209302326,141
-1,acs_proyec,calefont 7 litros tiro forzado,477,11.093023255813954,388
-1,acs_proyec,calefont glp,375,8.720930232558139,388
-1,acs_proyec,calefont 10 litros tiro forzado,231,5.372093023255814,388
-1,acs_proyec,calefont,159,3.697674418604651,388
-1,acs_proyec,calefont 13 litros tiro forzado,138,3.2093023255813953,388
-1,acs_proyec,termo eléctrico,80,1.8604651162790697,388
-1,acs_proyec,calefon,71,1.6511627906976745,388
-1,acs_proyec,calefont 11 litros tiro forzado,52,1.2093023255813953,388
-1,acs_proyec,el edificio cuenta con 2 calderas de gas natural ivar super,42,0.9767441860465116,388
-1,acs_proyec,"calefont, tiro forzado",38,0.8837209302325582,388
0,zona_termica,d,32,50.79365079365079,2
0,zona_termica,c,31,49.2063492063492,2
0,tipo_inmueble,depto,52,82.53968253968253,3
0,tipo_inmueble,casa_pareada,6,9.523809523809524,3
0,tipo_inmueble,casa_aislada,5,7.936507936507936,3
0,calef_proyec,calefactor electrico,63,100.0,1
0,acs_proyec,calefont 10 litros gl,37,58.730158730158735,2
0,acs_proyec,calefont 12 litros gl,26,41.269841269841265,2
1,zona_termica,d,79,92.94117647058823,2
1,zona_termica,e,6,7.0588235294117645,2
1,tipo_inmueble,casa_pareada,42,49.411764705882355,3
1,tipo_inmueble,casa_aislada,23,27.058823529411764,3
1,tipo_inmueble,depto,20,23.52941176470588,3
1,calef_proyec,estufa kerosene 3 kw,85,100.0,1
1,acs_proyec,calefon tiro natural 10 lts +sst,85,100.0,1
2,zona_termica,d,166,89.72972972972974,3
2,zona_termica,e,16,8.64864864864865,3
2,zona_termica,f,3,1.6216216216216217,3
2,tipo_inmueble,depto,102,55.13513513513514,3
2,tipo_inmueble,casa_aislada,46,24.864864864864867,3
2,tipo_inmueble,casa_pareada,37,20.0,3
2,calef_proyec,no posee,185,100.0,1
2,acs_proyec,calefont 7 litros tiro forzado,65,35.13513513513514,24
2,acs_proyec,calefont 10 litros tiro forzado,27,14.594594594594595,24
2,acs_proyec,"central térmica con 10 calefones de condesación, marca anwo,",12,6.486486486486487,24
2,acs_proyec,"central térmica con 8 calentadores de agua, marca anwo,",10,5.405405405405405,24
2,acs_proyec,calefont,10,5.405405405405405,24
2,acs_proyec,5 calderas de gas natural genus premium evo hp 150 de 140,9,4.864864864864865,24
2,acs_proyec,termo eléctrico mural con mezclador marca winter de 80 l,6,3.2432432432432434,24
2,acs_proyec,caldera de condensación,6,3.2432432432432434,24
2,acs_proyec,"calefont splendid, master 10",5,2.7027027027027026,24
2,acs_proyec,caldera rinnai sm 75,4,2.1621621621621623,24
3,zona_termica,c,149,82.32044198895028,2
3,zona_termica,b,32,17.67955801104972,2
3,tipo_inmueble,depto,162,89.50276243093923,2
3,tipo_inmueble,casa_pareada,19,10.497237569060774,2
3,calef_proyec,no posee,181,100.0,1
3,acs_proyec,calefont 7 litros tiro forzado,181,100.0,1
4,zona_termica,a,66,100.0,1
