cluster_hdbscan,variable,count,media,mediana,p25,p75
-1,superficie_util,4300,54.23632558139534,50.5,42.7,58.824999999999996
-1,u_norm_muro_principal,4283,2.1824655615222976,1.9,1.7,1.9
-1,u_norm_muro_secundario,4283,2.1824655615222976,1.9,1.7,1.9
-1,u_norm_techo_principal,4283,0.48003969180480965,0.47,0.38,0.47
-1,u_norm_techo_secundario,4283,0.48003969180480965,0.47,0.38,0.47
0,superficie_util,63,52.2063492063492,52.5,50.1,54.4
0,u_norm_muro_principal,63,2.603174603174603,3.0,1.9,3.0
0,u_norm_muro_secundario,63,2.603174603174603,3.0,1.9,3.0
0,u_norm_techo_principal,63,0.5488888888888891,0.6,0.47,0.6
0,u_norm_techo_secundario,63,0.5488888888888891,0.6,0.47,0.6
1,superficie_util,85,67.01294117647059,72.6,52.2,77.8
1,u_norm_muro_principal,85,1.6588235294117641,1.7,1.7,1.7
1,u_norm_muro_secundario,85,1.6588235294117641,1.7,1.7,1.7
1,u_norm_techo_principal,85,0.3576470588235293,0.38,0.38,0.38
1,u_norm_techo_secundario,85,0.3576470588235293,0.38,0.38,0.38
2,superficie_util,185,52.15027027027027,45.7,38.9,66.8
2,u_norm_muro_principal,185,1.0,1.0,1.0,1.0
2,u_norm_muro_secundario,185,1.0,1.0,1.0,1.0
2,u_norm_techo_principal,185,0.0,0.0,0.0,0.0
2,u_norm_techo_secundario,185,0.0,0.0,0.0,0.0
3,superficie_util,181,50.70441988950276,51.5,48.3,53.0
3,u_norm_muro_principal,181,4.0,4.0,4.0,4.0
3,u_norm_muro_secundario,181,4.0,4.0,4.0,4.0
3,u_norm_techo_principal,181,0.8400000000000001,0.84,0.84,0.84
3,u_norm_techo_secundario,181,0.8400000000000001,0.84,0.84,0.84
4,superficie_util,66,50.348484848484844,50.8,47.5,55.075
4,u_norm_muro_principal,66,4.0,4.0,4.0,4.0
4,u_norm_muro_secundario,66,4.0,4.0,4.0,4.0
4,u_norm_techo_principal,66,0.8400000000000001,0.84,0.84,0.84
4,u_norm_techo_secundario,66,0.8400000000000001,0.84,0.84,0.84
5,superficie_util,87,54.63908045977013,55.0,53.099999999999994,55.6
5,u_norm_muro_principal,87,4.0,4.0,4.0,4.0
5,u_norm_muro_secundario,87,4.0,4.0,4.0,4.0
5,u_norm_techo_principal,87,0.8400000000000003,0.84,0.84,0.84
5,u_norm_techo_secundario,87,0.8400000000000003,0.84,0.84,0.84
6,superficie_util,79,60.18101265822785,60.0,59.6,60.5
6,u_norm_muro_principal,79,4.0,4.0,4.0,4.0
6,u_norm_muro_secundario,79,4.0,4.0,4.0,4.0
6,u_norm_techo_principal,79,0.8400000000000002,0.84,0.84,0.84
6,u_norm_techo_secundario,79,0.8400000000000002,0.84,0.84,0.84
7,superficie_util,57,78.2105263157895,79.4,62.5,91.6
7,u_norm_muro_principal,57,1.7,1.7,1.7,1.7
7,u_norm_muro_secundario,57,1.7,1.7,1.7,1.7
7,u_norm_techo_principal,57,0.37999999999999995,0.38,0.38,0.38
7,u_norm_techo_secundario,57,0.37999999999999995,0.38,0.38,0.38
8,superficie_util,85,32.37882352941176,28.4,28.1,41.2
8,u_norm_muro_principal,85,1.9000000000000004,1.9,1.9,1.9
8,u_norm_muro_secundario,85,1.9000000000000004,1.9,1.9,1.9
8,u_norm_techo_principal,85,0.4699999999999998,0.47,0.47,0.47
8,u_norm_techo_secundario,85,0.4699999999999998,0.47,0.47,0.47
9,superficie_util,52,67.6673076923077,64.8,61.3,78.2
9,u_norm_muro_principal,52,1.7000000000000002,1.7,1.7,1.7
9,u_norm_muro_secundario,52,1.7000000000000002,1.7,1.7,1.7
9,u_norm_techo_principal,52,0.3799999999999999,0.38,0.38,0.38
9,u_norm_techo_secundario,52,0.3799999999999999,0.38,0.38,0.38
10,superficie_util,58,60.12758620689656,58.6,53.275,62.0
10,u_norm_muro_principal,58,1.9000000000000004,1.9,1.9,1.9
10,u_norm_muro_secundario,58,1.9000000000000004,1.9,1.9,1.9
10,u_norm_techo_principal,58,0.46999999999999986,0.47,0.47,0.47
10,u_norm_techo_secundario,58,0.46999999999999986,0.47,0.47,0.47
11,superficie_util,129,48.14496124031008,48.0,43.9,52.4
11,u_norm_muro_principal,129,2.0930232558139537,1.9,1.9,1.9
11,u_norm_muro_secundario,129,2.0930232558139537,1.9,1.9,1.9
11,u_norm_techo_principal,129,0.4861240310077518,0.47,0.47,0.47
11,u_norm_techo_secundario,129,0.4861240310077518,0.47,0.47,0.47
12,superficie_util,83,37.13132530120482,37.6,28.9,40.6
12,u_norm_muro_principal,83,1.9000000000000001,1.9,1.9,1.9
12,u_norm_muro_secundario,83,1.9000000000000001,1.9,1.9,1.9
12,u_norm_techo_principal,83,0.4699999999999998,0.47,0.47,0.47
12,u_norm_techo_secundario,83,0.4699999999999998,0.47,0.47,0.47
13,superficie_util,78,40.01153846153847,40.8,29.525,45.6
13,u_norm_muro_principal,78,1.9000000000000006,1.9,1.9,1.9
13,u_norm_muro_secundario,78,1.9000000000000006,1.9,1.9,1.9
13,u_norm_techo_principal,78,0.46999999999999975,0.47,0.47,0.47
13,u_norm_techo_secundario,78,0.46999999999999975,0.47,0.47,0.47
14,superficie_util,82,63.52682926829268,54.1,49.5,79.425
14,u_norm_muro_principal,82,1.6658536585365848,1.7,1.6,1.7
14,u_norm_muro_secundario,82,1.6658536585365848,1.7,1.6,1.7
14,u_norm_techo_principal,82,0.3629268292682926,0.38,0.33,0.38
14,u_norm_techo_secundario,82,0.3629268292682926,0.38,0.33,0.38
15,superficie_util,68,62.53529411764707,58.3,51.3,69.8
15,u_norm_muro_principal,68,1.673529411764706,1.7,1.6,1.7
15,u_norm_muro_secundario,68,1.673529411764706,1.7,1.6,1.7
15,u_norm_techo_principal,68,0.3667647058823528,0.38,0.33,0.38
15,u_norm_techo_secundario,68,0.3667647058823528,0.38,0.33,0.38
16,superficie_util,92,50.15108695652174,44.5,44.375,51.6
16,u_norm_muro_principal,92,1.69891304347826,1.7,1.7,1.7
16,u_norm_muro_secundario,92,1.69891304347826,1.7,1.7,1.7
16,u_norm_techo_principal,92,0.3794565217391305,0.38,0.38,0.38
16,u_norm_techo_secundario,92,0.3794565217391305,0.38,0.38,0.38
17,superficie_util,80,47.42375,48.7,44.8,48.7
17,u_norm_muro_principal,80,1.1312499999999999,1.1,1.1,1.1
17,u_norm_muro_secundario,80,1.1312499999999999,1.1,1.1,1.1
17,u_norm_techo_principal,80,0.28312500000000007,0.28,0.28,0.28
17,u_norm_techo_secundario,80,0.28312500000000007,0.28,0.28,0.28
18,superficie_util,73,38.60958904109589,39.0,28.4,46.2
18,u_norm_muro_principal,73,1.9000000000000001,1.9,1.9,1.9
18,u_norm_muro_secundario,73,1.9000000000000001,1.9,1.9,1.9
18,u_norm_techo_principal,73,0.46999999999999986,0.47,0.47,0.47
18,u_norm_techo_secundario,73,0.46999999999999986,0.47,0.47,0.47
19,superficie_util,87,44.331034482758625,41.8,41.4,47.7
19,u_norm_muro_principal,87,1.6264367816091945,1.6,1.6,1.7
19,u_norm_muro_secundario,87,1.6264367816091945,1.6,1.6,1.7
19,u_norm_techo_principal,87,0.3432183908045976,0.33,0.33,0.38
19,u_norm_techo_secundario,87,0.3432183908045976,0.33,0.33,0.38
20,superficie_util,56,48.21071428571429,50.3,42.7,50.3
20,u_norm_muro_principal,56,1.4392857142857143,1.6,1.1,1.6
20,u_norm_muro_secundario,56,1.4392857142857143,1.6,1.1,1.6
20,u_norm_techo_principal,56,0.31392857142857145,0.33,0.28,0.33
20,u_norm_techo_secundario,56,0.31392857142857145,0.33,0.28,0.33
21,superficie_util,116,47.331034482758625,48.2,46.1,48.3
21,u_norm_muro_principal,116,1.699999999999999,1.7,1.7,1.7
21,u_norm_muro_secundario,116,1.699999999999999,1.7,1.7,1.7
21,u_norm_techo_principal,116,0.38000000000000006,0.38,0.38,0.38
21,u_norm_techo_secundario,116,0.38000000000000006,0.38,0.38,0.38
22,superficie_util,93,47.902150537634405,52.2,43.9,52.2
22,u_norm_muro_principal,93,1.487096774193548,1.6,1.6,1.6
22,u_norm_muro_secundario,93,1.487096774193548,1.6,1.6,1.6
22,u_norm_techo_principal,93,0.31870967741935485,0.33,0.33,0.33
22,u_norm_techo_secundario,93,0.31870967741935485,0.33,0.33,0.33
23,superficie_util,81,50.58395061728395,50.2,49.8,52.2
23,u_norm_muro_principal,81,1.353086419753086,1.6,1.1,1.6
23,u_norm_muro_secundario,81,1.353086419753086,1.6,1.1,1.6
23,u_norm_techo_principal,81,0.3053086419753087,0.33,0.28,0.33
23,u_norm_techo_secundario,81,0.3053086419753087,0.33,0.28,0.33
24,superficie_util,92,54.12065217391304,53.7,53.4,57.7
24,u_norm_muro_principal,92,1.7391304347826078,1.7,1.7,1.7
24,u_norm_muro_secundario,92,1.7391304347826078,1.7,1.7,1.7
24,u_norm_techo_principal,92,0.397608695652174,0.38,0.38,0.38
24,u_norm_techo_secundario,92,0.397608695652174,0.38,0.38,0.38
25,superficie_util,57,48.457894736842114,48.3,44.3,53.3
25,u_norm_muro_principal,57,1.7,1.7,1.7,1.7
25,u_norm_muro_secundario,57,1.7,1.7,1.7,1.7
25,u_norm_techo_principal,57,0.37999999999999995,0.38,0.38,0.38
25,u_norm_techo_secundario,57,0.37999999999999995,0.38,0.38,0.38
26,superficie_util,56,51.973214285714285,54.0,51.7,54.0
26,u_norm_muro_principal,56,1.6339285714285714,1.6,1.6,1.7
26,u_norm_muro_secundario,56,1.6339285714285714,1.6,1.6,1.7
26,u_norm_techo_principal,56,0.3469642857142857,0.33,0.33,0.38
26,u_norm_techo_secundario,56,0.3469642857142857,0.33,0.33,0.38
27,superficie_util,134,48.861194029850736,46.2,46.2,48.3
27,u_norm_muro_principal,134,1.693283582089552,1.7,1.7,1.7
27,u_norm_muro_secundario,134,1.693283582089552,1.7,1.7,1.7
27,u_norm_techo_principal,134,0.376641791044776,0.38,0.38,0.38
27,u_norm_techo_secundario,134,0.376641791044776,0.38,0.38,0.38
28,superficie_util,129,40.32248062015504,40.4,30.8,47.0
28,u_norm_muro_principal,129,1.9000000000000001,1.9,1.9,1.9
28,u_norm_muro_secundario,129,1.9000000000000001,1.9,1.9,1.9
28,u_norm_techo_principal,129,0.46999999999999986,0.47,0.47,0.47
28,u_norm_techo_secundario,129,0.46999999999999986,0.47,0.47,0.47
29,superficie_util,63,50.842857142857156,52.3,48.15,52.3
29,u_norm_muro_principal,63,1.661904761904762,1.7,1.6,1.7
29,u_norm_muro_secundario,63,1.661904761904762,1.7,1.6,1.7
29,u_norm_techo_principal,63,0.3609523809523808,0.38,0.33,0.38
29,u_norm_techo_secundario,63,0.3609523809523808,0.38,0.33,0.38
30,superficie_util,60,34.30166666666666,31.15,30.5,39.5
30,u_norm_muro_principal,60,1.9000000000000006,1.9,1.9,1.9
30,u_norm_muro_secundario,60,1.9000000000000006,1.9,1.9,1.9
30,u_norm_techo_principal,60,0.4699999999999998,0.47,0.47,0.47
30,u_norm_techo_secundario,60,0.4699999999999998,0.47,0.47,0.47
31,superficie_util,53,46.72641509433962,45.7,42.4,49.5
31,u_norm_muro_principal,53,1.7000000000000002,1.7,1.7,1.7
31,u_norm_muro_secundario,53,1.7000000000000002,1.7,1.7,1.7
31,u_norm_techo_principal,53,0.3799999999999999,0.38,0.38,0.38
31,u_norm_techo_secundario,53,0.3799999999999999,0.38,0.38,0.38
32,superficie_util,78,47.011538461538464,49.4,44.050000000000004,52.075
32,u_norm_muro_principal,78,1.5999999999999994,1.6,1.6,1.6
32,u_norm_muro_secundario,78,1.5999999999999994,1.6,1.6,1.6
32,u_norm_techo_principal,78,0.3299999999999999,0.33,0.33,0.33
32,u_norm_techo_secundario,78,0.3299999999999999,0.33,0.33,0.33
33,superficie_util,192,78.09114583333333,68.5,63.1,87.1
33,u_norm_muro_principal,192,1.8437499999999993,1.9,1.7,1.9
33,u_norm_muro_secundario,192,1.8437499999999993,1.9,1.7,1.9
33,u_norm_techo_principal,192,0.44468749999999985,0.47,0.38,0.47
33,u_norm_techo_secundario,192,0.44468749999999985,0.47,0.38,0.47
34,superficie_util,60,48.03,47.0,47.0,47.0
34,u_norm_muro_principal,60,1.7,1.7,1.7,1.7
34,u_norm_muro_secundario,60,1.7,1.7,1.7,1.7
34,u_norm_techo_principal,60,0.3799999999999999,0.38,0.38,0.38
34,u_norm_techo_secundario,60,0.3799999999999999,0.38,0.38,0.38
35,superficie_util,61,60.05573770491804,57.8,57.8,63.1
35,u_norm_muro_principal,61,1.7,1.7,1.7,1.7
35,u_norm_muro_secundario,61,1.7,1.7,1.7,1.7
35,u_norm_techo_principal,61,0.3799999999999999,0.38,0.38,0.38
35,u_norm_techo_secundario,61,0.3799999999999999,0.38,0.38,0.38
36,superficie_util,107,51.36915887850467,49.6,47.8,52.1
36,u_norm_muro_principal,107,1.9598130841121488,1.9,1.9,1.9
36,u_norm_muro_secundario,107,1.9598130841121488,1.9,1.9,1.9
36,u_norm_techo_principal,107,0.46280373831775695,0.47,0.47,0.47
36,u_norm_techo_secundario,107,0.46280373831775695,0.47,0.47,0.47
37,superficie_util,76,49.06447368421052,49.9,49.9,49.9
37,u_norm_muro_principal,76,3.0,3.0,3.0,3.0
37,u_norm_muro_secundario,76,3.0,3.0,3.0,3.0
37,u_norm_techo_principal,76,0.6,0.6,0.6,0.6
37,u_norm_techo_secundario,76,0.6,0.6,0.6,0.6
38,superficie_util,139,33.535251798561156,29.0,28.3,40.3
38,u_norm_muro_principal,139,1.9000000000000001,1.9,1.9,1.9
38,u_norm_muro_secundario,139,1.9000000000000001,1.9,1.9,1.9
38,u_norm_techo_principal,139,0.46999999999999986,0.47,0.47,0.47
38,u_norm_techo_secundario,139,0.46999999999999986,0.47,0.47,0.47
39,superficie_util,85,51.478823529411784,51.6,50.1,53.1
39,u_norm_muro_principal,85,1.9000000000000004,1.9,1.9,1.9
39,u_norm_muro_secundario,85,1.9000000000000004,1.9,1.9,1.9
39,u_norm_techo_principal,85,0.4699999999999998,0.47,0.47,0.47
39,u_norm_techo_secundario,85,0.4699999999999998,0.47,0.47,0.47
40,superficie_util,151,42.41456953642384,42.0,42.0,42.4
40,u_norm_muro_principal,151,1.9000000000000006,1.9,1.9,1.9
40,u_norm_muro_secundario,151,1.9000000000000006,1.9,1.9,1.9
40,u_norm_techo_principal,151,0.4699999999999998,0.47,0.47,0.47
40,u_norm_techo_secundario,151,0.4699999999999998,0.47,0.47,0.47
41,superficie_util,112,47.0,47.0,47.0,47.0
41,u_norm_muro_principal,112,1.6999999999999995,1.7,1.7,1.7
41,u_norm_muro_secundario,112,1.6999999999999995,1.7,1.7,1.7
41,u_norm_techo_principal,112,0.37999999999999995,0.38,0.38,0.38
41,u_norm_techo_secundario,112,0.37999999999999995,0.38,0.38,0.38
42,superficie_util,63,45.382539682539665,45.2,45.0,47.0
42,u_norm_muro_principal,63,1.9000000000000008,1.9,1.9,1.9
42,u_norm_muro_secundario,63,1.9000000000000008,1.9,1.9,1.9
42,u_norm_techo_principal,63,0.46999999999999975,0.47,0.47,0.47
42,u_norm_techo_secundario,63,0.46999999999999975,0.47,0.47,0.47
43,superficie_util,97,56.324742268041234,55.1,53.4,57.8
43,u_norm_muro_principal,97,1.9,1.9,1.9,1.9
43,u_norm_muro_secundario,97,1.9,1.9,1.9,1.9
43,u_norm_techo_principal,97,0.4699999999999998,0.47,0.47,0.47
43,u_norm_techo_secundario,97,0.4699999999999998,0.47,0.47,0.47
44,superficie_util,181,48.633701657458566,48.5,48.5,48.6
44,u_norm_muro_principal,181,1.9,1.9,1.9,1.9
44,u_norm_muro_secundario,181,1.9,1.9,1.9,1.9
44,u_norm_techo_principal,181,0.4699999999999998,0.47,0.47,0.47
44,u_norm_techo_secundario,181,0.4699999999999998,0.47,0.47,0.47
45,superficie_util,59,55.199999999999996,55.5,54.9,55.5
45,u_norm_muro_principal,59,1.7,1.7,1.7,1.7
45,u_norm_muro_secundario,59,1.7,1.7,1.7,1.7
45,u_norm_techo_principal,59,0.3799999999999999,0.38,0.38,0.38
45,u_norm_techo_secundario,59,0.3799999999999999,0.38,0.38,0.38
46,superficie_util,50,58.67999999999999,58.7,58.7,58.7
46,u_norm_muro_principal,50,1.7,1.7,1.7,1.7
46,u_norm_muro_secundario,50,1.7,1.7,1.7,1.7
46,u_norm_techo_principal,50,0.37999999999999995,0.38,0.38,0.38
46,u_norm_techo_secundario,50,0.37999999999999995,0.38,0.38,0.38
47,superficie_util,53,52.29811320754719,52.3,52.3,52.3
47,u_norm_muro_principal,53,1.9000000000000006,1.9,1.9,1.9
47,u_norm_muro_secundario,53,1.9000000000000006,1.9,1.9,1.9
47,u_norm_techo_principal,53,0.4699999999999998,0.47,0.47,0.47
47,u_norm_techo_secundario,53,0.4699999999999998,0.47,0.47,0.47
48,superficie_util,71,50.93239436619719,51.0,50.8,51.0
48,u_norm_muro_principal,71,1.9000000000000006,1.9,1.9,1.9
48,u_norm_muro_secundario,71,1.9000000000000006,1.9,1.9,1.9
48,u_norm_techo_principal,71,0.46999999999999975,0.47,0.47,0.47
48,u_norm_techo_secundario,71,0.46999999999999975,0.47,0.47,0.47
49,superficie_util,82,51.167073170731726,51.1,51.1,51.3
49,u_norm_muro_principal,82,1.9000000000000001,1.9,1.9,1.9
49,u_norm_muro_secundario,82,1.9000000000000001,1.9,1.9,1.9
49,u_norm_techo_principal,82,0.4699999999999998,0.47,0.47,0.47
49,u_norm_techo_secundario,82,0.4699999999999998,0.47,0.47,0.47
50,superficie_util,217,50.68202764976959,51.6,44.0,57.8
50,u_norm_muro_principal,217,1.8926267281105988,1.9,1.9,1.9
50,u_norm_muro_secundario,217,1.8926267281105988,1.9,1.9,1.9
50,u_norm_techo_principal,217,0.46668202764976935,0.47,0.47,0.47
50,u_norm_techo_secundario,217,0.46668202764976935,0.47,0.47,0.47
51,superficie_util,67,49.16119402985075,47.1,41.05,54.1
51,u_norm_muro_principal,67,3.0,3.0,3.0,3.0
51,u_norm_muro_secundario,67,3.0,3.0,3.0,3.0
51,u_norm_techo_principal,67,0.6000000000000001,0.6,0.6,0.6
51,u_norm_techo_secundario,67,0.6000000000000001,0.6,0.6,0.6
52,superficie_util,90,40.146666666666675,38.599999999999994,31.0,47.550000000000004
52,u_norm_muro_principal,90,1.9,1.9,1.9,1.9
52,u_norm_muro_secundario,90,1.9,1.9,1.9,1.9
52,u_norm_techo_principal,90,0.4699999999999998,0.47,0.47,0.47
52,u_norm_techo_secundario,90,0.4699999999999998,0.47,0.47,0.47
53,superficie_util,89,37.27078651685394,35.5,29.0,45.0
53,u_norm_muro_principal,89,1.9,1.9,1.9,1.9
53,u_norm_muro_secundario,89,1.9,1.9,1.9,1.9
53,u_norm_techo_principal,89,0.4699999999999998,0.47,0.47,0.47
53,u_norm_techo_secundario,89,0.4699999999999998,0.47,0.47,0.47
54,superficie_util,190,45.21684210526316,47.05,38.25,53.7
54,u_norm_muro_principal,190,1.6999999999999995,1.7,1.7,1.7
54,u_norm_muro_secundario,190,1.6999999999999995,1.7,1.7,1.7
54,u_norm_techo_principal,190,0.3800000000000001,0.38,0.38,0.38
54,u_norm_techo_secundario,190,0.3800000000000001,0.38,0.38,0.38
55,superficie_util,82,52.576829268292684,53.4,49.4,55.5
55,u_norm_muro_principal,82,3.0,3.0,3.0,3.0
55,u_norm_muro_secundario,82,3.0,3.0,3.0,3.0
55,u_norm_techo_principal,82,0.6,0.6,0.6,0.6
55,u_norm_techo_secundario,82,0.6,0.6,0.6,0.6
56,superficie_util,85,48.776470588235306,47.6,47.6,49.3
56,u_norm_muro_principal,85,1.699999999999999,1.7,1.7,1.7
56,u_norm_muro_secundario,85,1.699999999999999,1.7,1.7,1.7
56,u_norm_techo_principal,85,0.3799999999999999,0.38,0.38,0.38
56,u_norm_techo_secundario,85,0.3799999999999999,0.38,0.38,0.38
57,superficie_util,62,31.04193548387097,30.7,29.8,31.7
57,u_norm_muro_principal,62,1.9000000000000006,1.9,1.9,1.9
57,u_norm_muro_secundario,62,1.9000000000000006,1.9,1.9,1.9
