cluster_hdbscan,row_position,index_original,id_col,id_value,distancia_media_intra_cluster
0,101,101,document_id,24ee472025,0.16054484330945545
1,466,466,document_id,552fcb2022,0.07718564182081643
2,903,903,document_id,b7b66b2020,0.1392804606968688
3,1226,1226,document_id,102b7c2025,0.03256195149613893
4,258,258,document_id,ae191b2023,0.0485794169261212
5,1018,1018,document_id,71859c2023,0.000502537807681191
6,146,146,document_id,26f8ce2019,0.0001827265676390969
7,276,276,document_id,2ab5b92022,0.00650786457424003
8,5376,5376,document_id,2a01dd2026,0.045283386882682165
9,764,764,document_id,af29562020,0.003662485883418972
10,1639,1639,document_id,628f2e2023,0.0027318994792134114
11,953,953,document_id,9a87c92022,0.03282393832364329
12,747,747,document_id,7db1582025,0.0027277812471119575
13,1657,1657,document_id,29f0862020,0.010171075382132608
14,3915,3915,document_id,9223e02026,0.012966484924573906
15,2105,2105,document_id,8aad0d2020,0.009267695987706675
16,200,200,document_id,0145c62026,0.00262003713610086
17,2263,2263,document_id,ae7ce42025,0.06476851412444376
18,4820,4820,document_id,ef72f82023,0.004624552497112396
19,1342,1342,document_id,19790f2022,0.006573877085251841
20,633,633,document_id,3d5e5c2024,0.015809885469414958
21,195,195,document_id,85e51e2025,0.0006953217124301491
22,152,152,document_id,4831462023,0.01261663122317924
23,690,690,document_id,ba08642023,0.022956415188763245
24,149,149,document_id,f0ffba2024,0.008406043272612884
25,490,490,document_id,b833542025,0.0015089358938367742
26,553,553,document_id,c3d7fd2023,0.007492245653078758
27,79,79,document_id,ecc2662021,0.002335472514921514
28,1720,1720,document_id,5f5a832024,0.008342127674760101
29,234,234,document_id,fb43382020,0.008315050290779226
30,4501,4501,document_id,0d32772024,0.01869503490452189
31,843,843,document_id,4dce792026,0.0016413074373080887
32,464,464,document_id,3625652026,0.0020550897095698672
33,311,311,document_id,5409552024,0.0345844249137978
34,138,138,document_id,520bb62024,0.0010327151687912798
35,262,262,document_id,45c49f2024,0.0666908883245387
36,819,819,document_id,61a1be2021,0.019634349341558676
37,151,151,document_id,5ab40e2023,0.00043095922324267263
38,197,197,document_id,c4e42d2024,0.042321638024195175
39,3437,3437,document_id,ddafb42024,0.0007161163819118348
40,12,12,document_id,c8ff1d2021,0.00022065070385864275
41,171,171,document_id,273b6a2025,0.0
42,190,190,document_id,d432e12018,0.00039664591341057704
43,817,817,document_id,8086042023,0.0009791716088939305
44,64,64,document_id,21e9632026,0.00010078520458918425
45,309,309,document_id,287d7d2025,0.00011307100609528942
46,350,350,document_id,339e062025,0.00014171566115692258
47,157,157,document_id,ef0bd32022,6.400245595459809e-06
48,47,47,document_id,f8014d2020,2.548078919062391e-05
49,158,158,document_id,769ab72020,2.5280101864354505e-05
50,63,63,document_id,09cf962025,0.06926238514312778
51,730,730,document_id,c83c942023,0.007479000269303293
52,4238,4238,document_id,389e922024,0.004333551003219327
53,7045,7045,document_id,d0903d2024,0.0030821377641699287
54,8373,8373,document_id,2fdcb22026,0.0035952612295850964
55,1468,1468,document_id,c6bb162024,0.0011523130502255076
56,91,91,document_id,dd3cc32026,0.0007298622597077424
57,2297,2297,document_id,b16e162025,0.0005969662831170529
58,188,188,document_id,0b440a2023,0.00022503347174600042
59,950,950,document_id,0217222026,9.153367217449058e-05
60,4389,4389,document_id,1d289f2023,0.0002041308546322398
61,163,163,document_id,7e98132019,1.463271807605291e-05
