document_id,superficie_util,zona_termica,tipo_inmueble,calef_proyec,acs_proyec,u_norm_muro_principal,u_norm_muro_secundario,u_norm_techo_principal,u_norm_techo_secundario,cluster_hdbscan,cluster_probability,cluster_is_noise
24ee472025,50.5,d,depto,calefactor electrico,calefont 10 litros gl,3.0,3.0,0.6,0.6,0,1.0,False
552fcb2022,72.6,d,casa_pareada,estufa kerosene 3 kw,calefon tiro natural 10 lts +sst,1.7,1.7,0.38,0.38,1,1.0,False
b7b66b2020,47.5,d,depto,no posee,calefont 7 litros tiro forzado,1.0,1.0,0.0,0.0,2,0.9996619144450413,False
102b7c2025,51.5,c,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,3,1.0,False
ae191b2023,49.9,a,depto,no posee,"calefon splendid mvg tfi de 10 litros, de 17,6 kw potencia",4.0,4.0,0.84,0.84,4,1.0,False
71859c2023,55.0,a,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,5,1.0,False
26f8ce2019,60.0,a,depto,no posee,calefont 7 litros tiro forzado,4.0,4.0,0.84,0.84,6,1.0,False
2ab5b92022,79.4,d,casa_pareada,no posee,calefont tiro forzado,1.7,1.7,0.38,0.38,7,1.0,False
2a01dd2026,28.4,d,depto,no posee,termo eléctrico,1.9,1.9,0.47,0.47,8,1.0,False
af29562020,64.8,d,casa_pareada,no posee,calefont,1.7,1.7,0.38,0.38,9,1.0,False
628f2e2023,58.6,d,casa_pareada,no posee,calefont,1.9,1.9,0.47,0.47,10,1.0,False
9a87c92022,48.0,d,depto,no posee,calefont 10 litros tiro forzado,1.9,1.9,0.47,0.47,11,1.0,False
7db1582025,37.6,d,depto,no posee,sala de calderas,1.9,1.9,0.47,0.47,12,1.0,False
29f0862020,40.8,d,depto,no posee,caldera condensación,1.9,1.9,0.47,0.47,13,1.0,False
9223e02026,56.6,f,casa_aislada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,14,1.0,False
8aad0d2020,58.3,f,casa_aislada,no posee,calefont 10 litros tiro forzado,1.7,1.7,0.38,0.38,15,1.0,False
0145c62026,44.5,f,casa_pareada,no posee,calefont 7 litros tiro forzado,1.7,1.7,0.38,0.38,16,1.0,False
ae7ce42025,48.7,g,casa_aislada,no posee,calefont 7 litros,1.1,1.1,0.28,0.28,17,1.0,False
ef72f82023,39.0,d,depto,no posee,caldera a condensación,1.9,1.9,0.47,0.47,18,1.0,False
19790f2022,41.8,f,casa_aislada,no posee,calefont glp,1.6,1.6,0.33,0.33,19,1.0,False
3d5e5c2024,50.3,g,casa_aislada,no posee,calefont glp,1.6,1.6,0.33,0.33,20,1.0,False
