cluster_hdbscan,n,pct_total,superficie_util_mediana,superficie_util_media,superficie_util_p25,superficie_util_p75,u_norm_muro_principal_mediana,u_norm_muro_principal_media,u_norm_muro_principal_p25,u_norm_muro_principal_p75,u_norm_muro_secundario_mediana,u_norm_muro_secundario_media,u_norm_muro_secundario_p25,u_norm_muro_secundario_p75,u_norm_techo_principal_mediana,u_norm_techo_principal_media,u_norm_techo_principal_p25,u_norm_techo_principal_p75,u_norm_techo_secundario_mediana,u_norm_techo_secundario_media,u_norm_techo_secundario_p25,u_norm_techo_secundario_p75,zona_termica_moda,zona_termica_pct_moda,tipo_inmueble_moda,tipo_inmueble_pct_moda,calef_proyec_moda,calef_proyec_pct_moda,acs_proyec_moda,acs_proyec_pct_moda,etiqueta_arquetipo_preliminar
-1,4300,43.0,50.5,54.23632558139534,42.7,58.824999999999996,1.9,2.1824655615222976,1.7,1.9,1.9,2.1824655615222976,1.7,1.9,0.47,0.48003969180480965,0.38,0.47,0.47,0.48003969180480965,0.38,0.47,d,55.76744186046512,depto,69.11627906976744,no posee,64.93023255813954,calefont 7 litros tiro forzado,11.093023255813954,ruido / observacion atipica
0,63,0.63,52.5,52.2063492063492,50.1,54.4,3.0,2.603174603174603,1.9,3.0,3.0,2.603174603174603,1.9,3.0,0.6,0.5488888888888891,0.47,0.6,0.6,0.5488888888888891,0.47,0.6,d,50.79365079365079,depto,82.53968253968253,calefactor electrico,100.0,calefont 10 litros gl,58.730158730158735,depto | d | sup_mediana 52 m2 | calef: calefactor electrico | acs: calefont 10 litros gl
1,85,0.8500000000000001,72.6,67.01294117647059,52.2,77.8,1.7,1.6588235294117641,1.7,1.7,1.7,1.6588235294117641,1.7,1.7,0.38,0.3576470588235293,0.38,0.38,0.38,0.3576470588235293,0.38,0.38,d,92.94117647058823,casa_pareada,49.411764705882355,estufa kerosene 3 kw,100.0,calefon tiro natural 10 lts +sst,100.0,casa_pareada | d | sup_mediana 73 m2 | calef: estufa kerosene 3 kw | acs: calefon tiro natural 10 lts +sst
2,185,1.8499999999999999,45.7,52.15027027027027,38.9,66.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d,89.72972972972974,depto,55.13513513513514,no posee,100.0,calefont 7 litros tiro forzado,35.13513513513514,depto | d | sup_mediana 46 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
3,181,1.81,51.5,50.70441988950276,48.3,53.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,c,82.32044198895028,depto,89.50276243093923,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | c | sup_mediana 52 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
4,66,0.66,50.8,50.348484848484844,47.5,55.075,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000001,0.84,0.84,0.84,0.8400000000000001,0.84,0.84,a,100.0,depto,100.0,no posee,100.0,"calefon splendid mvg tfi de 10 litros, de 17,6 kw potencia",57.57575757575758,"depto | a | sup_mediana 51 m2 | calef: no posee | acs: calefon splendid mvg tfi de 10 litros, de 17,6 kw potencia"
5,87,0.8699999999999999,55.0,54.63908045977013,53.099999999999994,55.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000003,0.84,0.84,0.84,0.8400000000000003,0.84,0.84,a,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | a | sup_mediana 55 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
6,79,0.79,60.0,60.18101265822785,59.6,60.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.84,0.8400000000000002,0.84,0.84,0.84,0.8400000000000002,0.84,0.84,a,100.0,depto,100.0,no posee,100.0,calefont 7 litros tiro forzado,100.0,depto | a | sup_mediana 60 m2 | calef: no posee | acs: calefont 7 litros tiro forzado
7,57,0.5700000000000001,79.4,78.2105263157895,62.5,91.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.38,0.37999999999999995,0.38,0.38,0.38,0.37999999999999995,0.38,0.38,d,100.0,casa_pareada,98.24561403508771,no posee,100.0,calefont tiro forzado,100.0,casa_pareada | d | sup_mediana 79 m2 | calef: no posee | acs: calefont tiro forzado
8,85,0.8500000000000001,28.4,32.37882352941176,28.1,41.2,1.9,1.9000000000000004,1.9,1.9,1.9,1.9000000000000004,1.9,1.9,0.47,0.4699999999999998,0.47,0.47,0.47,0.4699999999999998,0.47,0.47,d,100.0,depto,100.0,no posee,100.0,termo eléctrico,61.1764705882353,depto | d | sup_mediana 28 m2 | calef: no posee | acs: termo eléctrico
9,52,0.52,64.8,67.6673076923077,61.3,78.2,1.7,1.7000000000000002,1.7,1.7,1.7,1.7000000000000002,1.7,1.7,0.38,0.3799999999999999,0.38,0.38,0.38,0.3799999999999999,0.38,0.38,d,100.0,casa_pareada,100.0,no posee,100.0,calefont,100.0,casa_pareada | d | sup_mediana 65 m2 | calef: no posee | acs: calefont
10,58,0.58,58.6,60.12758620689656,53.275,62.0,1.9,1.9000000000000004,1.9,1.9,1.9,1.9000000000000004,1.9,1.9,0.47,0.46999999999999986,0.47,0.47,0.47,0.46999999999999986,0.47,0.47,d,100.0,casa_pareada,100.0,no posee,100.0,calefont,100.0,casa_pareada | d | sup_mediana 59 m2 | calef: no posee | acs: calefont
